step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-0.822203,1.865209,1.399217,0.000000,0.000000,0.000000,0.140000,0.120000,0.120000,0.100000,-1.000000,0.000000
1,-0.822203,1.865209,1.399217,0.007000,0.000000,0.000000,0.140000,0.120000,0.120000,0.100000,-1.000000,0.007000
2,-0.822191,1.865278,1.399217,0.014000,0.000000,0.000000,0.140000,0.120000,0.120000,0.100000,-1.000000,0.014000
3,-0.822168,1.865416,1.399217,0.012635,-0.005371,-0.229722,0.140000,0.120000,0.120000,0.100000,-1.000000,0.012635
4,-0.822093,1.865531,1.396920,0.014456,-0.013642,-0.130547,0.140000,0.120000,0.120000,0.100000,-1.000000,0.014456
5,-0.821934,1.865650,1.395614,0.018464,-0.007716,-0.594771,0.140000,0.120000,0.120000,0.100000,-1.000000,0.018464
6,-0.821826,1.865818,1.389666,0.023814,-0.016534,-0.259800,0.140000,0.120000,0.120000,0.100000,-1.000000,0.023814
7,-0.821620,1.866023,1.387068,0.026136,-0.012580,-0.726427,0.140000,0.120000,0.120000,0.100000,-1.000000,0.026136
8,-0.821449,1.866257,1.379804,0.030956,-0.021285,-0.426882,0.140000,0.120000,0.120000,0.100000,-1.000000,0.030956
9,-0.821181,1.866520,1.375535,0.033981,-0.017852,-0.826197,0.140000,0.120000,0.120000,0.100000,-1.000000,0.033981
10,-0.820940,1.866819,1.367273,0.038344,-0.025797,-0.589363,0.140000,0.120000,0.120000,0.100000,-1.000000,0.038344
11,-0.820610,1.867142,1.361380,0.041704,-0.023224,-0.926226,0.140000,0.120000,0.120000,0.100000,-1.000000,0.041704
12,-0.820296,1.867502,1.352118,0.045867,-0.029787,-0.767228,0.140000,0.120000,0.120000,0.100000,-1.000000,0.045867
13,-0.819905,1.867885,1.344445,0.049446,-0.028652,-1.019612,0.140000,0.120000,0.120000,0.100000,-1.000000,0.049446
14,-0.819515,1.868303,1.334249,0.053473,-0.033471,-0.952181,0.140000,0.120000,0.120000,0.100000,-1.000000,0.053473
15,-0.819065,1.868744,1.324727,0.057212,-0.033962,-1.113680,0.140000,0.120000,0.120000,0.100000,-1.000000,0.057212
16,-0.818596,1.869216,1.313591,0.061152,-0.037174,-1.128214,0.140000,0.120000,0.120000,0.100000,-1.000000,0.061152
17,-0.818081,1.869713,1.302308,0.064996,-0.038811,-1.224822,0.140000,0.120000,0.120000,0.100000,-1.000000,0.064996
18,-0.817534,1.870237,1.290060,0.068903,-0.041150,-1.281770,0.140000,0.120000,0.120000,0.100000,-1.000000,0.068903
19,-0.816948,1.870785,1.277242,0.072800,-0.043167,-1.353740,0.140000,0.120000,0.120000,0.100000,-1.000000,0.072800
20,-0.816324,1.871357,1.263705,0.076713,-0.045245,-1.420158,0.140000,0.120000,0.120000,0.100000,-1.000000,0.076713
21,-0.815661,1.871951,1.249503,0.080636,-0.047265,-1.487219,0.140000,0.120000,0.120000,0.100000,-1.000000,0.080636
22,-0.814958,1.872567,1.234631,0.084568,-0.049253,-1.553404,0.140000,0.120000,0.120000,0.100000,-1.000000,0.084568
23,-0.814214,1.873203,1.219097,0.088510,-0.051204,-1.618947,0.140000,0.120000,0.120000,0.100000,-1.000000,0.088510
24,-0.813428,1.873858,1.202908,0.092462,-0.053116,-1.683782,0.140000,0.120000,0.120000,0.100000,-1.000000,0.092462
25,-0.812600,1.874529,1.186070,0.096422,-0.054987,-1.747878,0.140000,0.120000,0.120000,0.100000,-1.000000,0.096422
26,-0.811728,1.875217,1.168591,0.100391,-0.056815,-1.811200,0.140000,0.120000,0.100000,0.100000,-1.000000,0.100391
27,-0.810813,1.875918,1.150479,0.104368,-0.058600,-1.873714,0.140000,0.120000,0.100000,0.100000,-1.000000,0.104368
28,-0.809852,1.876632,1.131742,0.108353,-0.060338,-1.935386,0.140000,0.120000,0.100000,0.100000,-1.000000,0.108353
29,-0.808845,1.877356,1.112388,0.112344,-0.062029,-1.996181,0.160000,0.120000,0.100000,0.100000,-1.000000,0.112344
30,-0.807792,1.878089,1.092426,0.116341,-0.063671,-2.056065,0.160000,0.120000,0.100000,0.100000,-1.000000,0.116341
31,-0.806691,1.878829,1.071866,0.120343,-0.065262,-2.115003,0.160000,0.120000,0.100000,0.100000,-1.000000,0.120343
32,-0.805542,1.879573,1.050716,0.124349,-0.066802,-2.172961,0.160000,0.120000,0.100000,0.100000,-1.000000,0.124349
33,-0.804344,1.880320,1.028986,0.128358,-0.068287,-2.229905,0.160000,0.120000,0.100000,0.100000,-1.000000,0.128358
34,-0.803097,1.881068,1.006687,0.132369,-0.069718,-2.285802,0.160000,0.120000,0.100000,0.100000,-1.000000,0.132369
35,-0.801800,1.881814,0.983829,0.136380,-0.071092,-2.340617,0.160000,0.120000,0.100000,0.100000,-1.000000,0.136380
36,-0.800453,1.882556,0.960423,0.140391,-0.072408,-2.394318,0.180000,0.120000,0.100000,0.100000,-1.000000,0.140391
37,-0.799055,1.883291,0.936480,0.144399,-0.073665,-2.446873,0.180000,0.120000,0.100000,0.100000,-1.000000,0.144399
38,-0.797606,1.884017,0.912011,0.148404,-0.074862,-2.498250,0.180000,0.120000,0.100000,0.100000,-1.000000,0.148404
39,-0.796106,1.884733,0.887028,0.152403,-0.075998,-2.548418,0.180000,0.120000,0.100000,0.100000,-1.000000,0.152403
40,-0.794554,1.885434,0.861544,0.156395,-0.077072,-2.597348,0.200000,0.140000,0.100000,0.100000,-1.000000,0.156395
41,-0.792950,1.886119,0.835571,0.160378,-0.078082,-2.645011,0.200000,0.140000,0.100000,0.100000,-1.000000,0.160378
42,-0.791295,1.886785,0.809121,0.164351,-0.079028,-2.691379,0.220000,0.140000,0.100000,0.100000,-1.000000,0.164351
43,-0.789589,1.887429,0.782207,0.168311,-0.079910,-2.736426,0.220000,0.140000,0.100000,0.100000,-1.000000,0.168311
44,-0.787832,1.888048,0.754843,0.172256,-0.080726,-2.780126,0.240000,0.140000,0.120000,0.100000,-1.000000,0.172256
45,-0.786024,1.888640,0.727041,0.176185,-0.081476,-2.822456,0.260000,0.140000,0.120000,0.100000,-1.000000,0.176185
46,-0.784166,1.889203,0.698817,0.180096,-0.082160,-2.863393,0.260000,0.140000,0.120000,0.100000,-1.000000,0.180096
47,-0.782259,1.889732,0.670183,0.183986,-0.082778,-2.902919,0.280000,0.160000,0.120000,0.100000,-1.000000,0.183986
48,-0.780303,1.890226,0.641154,0.187853,-0.083329,-2.941013,0.320000,0.160000,0.120000,0.200000,-1.000000,0.187853
49,-0.778299,1.890682,0.611744,0.198695,-0.083813,-2.977659,0.340000,0.160000,0.120000,0.200000,-1.000000,0.198695
50,-0.776191,1.891137,0.581967,0.209290,-0.084083,-3.022831,0.380000,0.160000,0.120000,0.200000,-1.000000,0.209290
51,-0.773981,1.891585,0.551739,0.219691,-0.084162,-3.071376,0.440000,0.180000,0.120000,0.200000,-1.000000,0.219691
52,-0.771669,1.892020,0.521025,0.229933,-0.084053,-3.120487,0.520000,0.180000,0.120000,0.200000,-1.000000,0.229933
53,-0.769256,1.892435,0.489820,0.240037,-0.083749,-3.168527,0.620000,0.200000,0.120000,0.200000,-1.000000,0.240037
54,-0.766744,1.892826,0.458135,0.250017,-0.083244,-3.214482,0.740000,0.200000,0.120000,0.200000,-1.000000,0.250017
55,-0.764133,1.893185,0.425990,0.259881,-0.082531,-3.257688,0.740000,0.220000,0.140000,0.200000,-1.000000,0.259881
56,-0.761426,1.893507,0.393413,0.269633,-0.081604,-3.297692,1.000000,0.240000,0.140000,0.200000,-1.000000,0.269633
57,-0.758623,1.893787,0.360436,0.279273,-0.080461,-3.334178,1.000000,0.260000,0.140000,0.200000,-1.000000,0.279273
58,-0.755725,1.894019,0.327094,0.288801,-0.079100,-3.366923,1.000000,0.280000,0.140000,0.200000,-1.000000,0.288801
59,-0.752736,1.894198,0.293425,0.298214,-0.077521,-3.395772,1.000000,0.300000,0.160000,0.200000,-1.000000,0.298214
60,-0.749658,1.894318,0.259467,0.307508,-0.075727,-3.420625,1.000000,0.340000,0.160000,0.200000,-1.000000,0.307508
61,-0.746491,1.894375,0.225261,0.316678,-0.073723,-3.441422,1.000000,0.380000,0.160000,0.200000,-1.000000,0.316678
62,-0.743240,1.894364,0.190847,0.325720,-0.071513,-3.458135,1.000000,0.460000,0.180000,0.200000,-1.000000,0.325720
63,-0.739906,1.894280,0.156266,0.334627,-0.069106,-3.470771,1.000000,0.560000,0.180000,0.200000,-1.000000,0.334627
64,-0.736493,1.894118,0.121558,0.343395,-0.066509,-3.479357,1.000000,0.700000,0.200000,0.200000,-1.000000,0.343395
65,-0.733004,1.893874,0.086764,0.352019,-0.063732,-3.483947,1.000000,0.720000,0.220000,0.200000,-1.000000,0.352019
66,-0.729441,1.893544,0.051925,0.360493,-0.060786,-3.484609,1.000000,0.880000,0.220000,0.200000,-1.000000,0.360493
67,-0.725810,1.893124,0.017079,0.368814,-0.057683,-3.481434,1.000000,1.000000,0.240000,0.200000,-1.000000,0.368814
68,-0.722112,1.892611,-0.017736,0.376976,-0.054435,-3.474524,1.000000,1.000000,0.280000,0.200000,-1.000000,0.376976
69,-0.718353,1.892000,-0.052481,0.384978,-0.051057,-3.463994,0.920000,1.000000,0.300000,0.200000,-1.000000,0.384978
70,-0.714535,1.891288,-0.087121,0.392815,-0.047562,-3.449973,0.760000,1.000000,0.340000,0.200000,-1.000000,0.392815
71,-0.710663,1.890472,-0.121620,0.400487,-0.043964,-3.432597,0.700000,1.000000,0.400000,0.200000,-1.000000,0.400487
72,-0.706741,1.889550,-0.155946,0.407992,-0.040279,-3.412013,0.660000,1.000000,0.480000,0.200000,-1.000000,0.407992
73,-0.702774,1.888518,-0.190067,0.415330,-0.036521,-3.388371,0.620000,1.000000,0.580000,0.200000,-1.000000,0.415330
