step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-0.389817,-1.467554,0.134379,0.000000,0.000000,0.000000,1.000000,0.120000,0.040000,0.200000,-0.800000,0.000000
1,-0.389817,-1.467554,0.134379,0.014000,0.000000,0.000000,1.000000,0.120000,0.040000,0.200000,-0.800000,0.014000
2,-0.389678,-1.467535,0.134379,0.020994,-0.006805,-0.291038,1.000000,0.120000,0.040000,0.200000,-0.800000,0.020994
3,-0.389461,-1.467575,0.131469,0.031560,-0.014163,-0.236585,1.000000,0.120000,0.040000,0.200000,-0.800000,0.031560
4,-0.389130,-1.467674,0.129103,0.041526,-0.012598,-0.670422,1.000000,0.120000,0.040000,0.200000,-0.800000,0.041526
5,-0.388701,-1.467745,0.122399,0.052654,-0.021058,-0.507613,1.000000,0.120000,0.040000,0.200000,-0.800000,0.052654
6,-0.388153,-1.467890,0.117323,0.062825,-0.021940,-0.801232,1.000000,0.140000,0.040000,0.200000,-0.800000,0.062825
7,-0.387504,-1.468034,0.109310,0.073472,-0.027230,-0.832627,1.000000,0.140000,0.040000,0.200000,-0.800000,0.073472
8,-0.386744,-1.468225,0.100984,0.083962,-0.030361,-0.982195,1.000000,0.160000,0.040000,0.200000,-0.800000,0.083962
9,-0.385878,-1.468442,0.091162,0.094541,-0.033981,-1.096142,1.000000,0.180000,0.040000,0.200000,-0.800000,0.094541
10,-0.384905,-1.468694,0.080201,0.105140,-0.037400,-1.214365,1.000000,0.200000,0.040000,0.200000,-0.800000,0.105140
11,-0.383827,-1.468983,0.068057,0.115770,-0.040703,-1.330996,1.000000,0.240000,0.040000,0.200000,-0.800000,0.115770
12,-0.382644,-1.469310,0.054747,0.126430,-0.043879,-1.446115,1.000000,0.300000,0.040000,0.200000,-0.800000,0.126430
13,-0.381358,-1.469679,0.040286,0.137119,-0.046914,-1.559598,1.000000,0.400000,0.060000,0.200000,-0.800000,0.137119
14,-0.379969,-1.470093,0.024690,0.147839,-0.049799,-1.671307,1.000000,0.660000,0.060000,0.200000,-0.600000,0.147839
15,-0.378479,-1.470554,0.007977,0.162435,-0.048899,-1.626146,1.000000,1.000000,0.060000,0.200000,-0.800000,0.162435
16,-0.376851,-1.471030,-0.008284,0.172478,-0.051868,-1.774873,1.000000,1.000000,0.060000,0.200000,-0.800000,0.172478
17,-0.375130,-1.471563,-0.026033,0.182712,-0.054672,-1.905365,1.000000,1.000000,0.060000,0.200000,-0.600000,0.182712
18,-0.373318,-1.472157,-0.045087,0.196742,-0.054182,-1.894713,1.000000,1.000000,0.060000,0.200000,-0.600000,0.196742
19,-0.371377,-1.472787,-0.064034,0.210178,-0.054208,-1.924152,0.960000,1.000000,0.080000,0.200000,-0.600000,0.210178
20,-0.369314,-1.473463,-0.083276,0.223255,-0.054524,-1.974174,0.920000,1.000000,0.080000,0.000000,-0.600000,0.223255
21,-0.367135,-1.474192,-0.103017,0.222101,-0.054975,-2.035357,0.880000,1.000000,0.080000,0.000000,-0.800000,0.222101
22,-0.364982,-1.474967,-0.123371,0.217867,-0.057488,-2.167965,0.840000,1.000000,0.100000,0.000000,-0.600000,0.217867
23,-0.362891,-1.475806,-0.145050,0.217495,-0.057269,-2.164472,0.800000,1.000000,0.120000,0.000000,-0.600000,0.217495
24,-0.360821,-1.476687,-0.166695,0.217110,-0.057094,-2.160485,0.780000,1.000000,0.120000,0.000000,-0.600000,0.217110
