step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,1.386052,-1.576480,-0.098038,0.000000,0.000000,0.000000,0.240000,0.260000,0.400000,0.400000,0.400000,0.000000
1,1.386052,-1.576480,-0.098038,0.028000,0.000000,0.000000,0.240000,0.260000,0.400000,0.400000,0.400000,0.028000
2,1.386331,-1.576507,-0.098038,0.052799,0.007570,0.323780,0.240000,0.260000,0.400000,0.400000,0.400000,0.052799
3,1.386864,-1.576483,-0.094800,0.079777,0.011845,0.333712,0.240000,0.260000,0.400000,0.400000,0.400000,0.079777
4,1.387669,-1.576441,-0.091463,0.106274,0.014870,0.507114,0.240000,0.260000,0.400000,0.400000,0.400000,0.106274
5,1.388741,-1.576390,-0.086392,0.132885,0.018391,0.625960,0.240000,0.260000,0.400000,0.400000,0.400000,0.132885
6,1.390081,-1.576321,-0.080133,0.159505,0.021676,0.748748,0.240000,0.260000,0.400000,0.400000,0.400000,0.159505
7,1.391688,-1.576233,-0.072645,0.186143,0.024730,0.871077,0.260000,0.280000,0.400000,0.400000,0.400000,0.186143
8,1.393562,-1.576122,-0.063934,0.212802,0.027519,0.992410,0.260000,0.300000,0.400000,0.400000,0.400000,0.212802
9,1.395704,-1.575983,-0.054010,0.239481,0.030007,1.112492,0.260000,0.300000,0.380000,0.400000,0.400000,0.239481
10,1.398111,-1.575813,-0.042885,0.266178,0.032154,1.231120,0.280000,0.300000,0.380000,0.400000,0.400000,0.266178
11,1.400784,-1.575605,-0.030574,0.292891,0.033926,1.348096,0.260000,0.280000,0.380000,0.400000,0.400000,0.292891
12,1.403722,-1.575356,-0.017093,0.319615,0.035284,1.463228,0.260000,0.280000,0.380000,0.400000,0.400000,0.319615
13,1.406924,-1.575058,-0.002461,0.346342,0.036195,1.576321,0.260000,0.280000,0.380000,0.400000,0.400000,0.346342
14,1.410388,-1.574704,0.013302,0.373065,0.036623,1.687182,0.260000,0.280000,0.380000,0.400000,0.400000,0.373065
15,1.414114,-1.574288,0.030174,0.399773,0.036534,1.795618,0.260000,0.280000,0.420000,0.400000,0.400000,0.399773
16,1.418098,-1.573803,0.048130,0.426454,0.035896,1.901440,0.240000,0.280000,0.420000,0.400000,0.400000,0.426454
17,1.422341,-1.573239,0.067145,0.453094,0.034679,2.004463,0.240000,0.320000,0.420000,0.400000,0.400000,0.453094
18,1.426838,-1.572589,0.087189,0.479677,0.032851,2.104510,0.240000,0.300000,0.420000,0.400000,0.400000,0.479677
19,1.431588,-1.571844,0.108234,0.506184,0.030385,2.201411,0.240000,0.300000,0.420000,0.400000,0.400000,0.506184
20,1.436588,-1.570995,0.130249,0.532595,0.027254,2.295011,0.220000,0.300000,0.420000,0.400000,0.400000,0.532595
21,1.441833,-1.570033,0.153199,0.558888,0.023433,2.385167,0.220000,0.300000,0.420000,0.400000,0.400000,0.558888
22,1.447321,-1.568949,0.177050,0.585040,0.018901,2.471753,0.220000,0.300000,0.420000,0.400000,0.400000,0.585040
23,1.453046,-1.567732,0.201768,0.611026,0.013635,2.554662,0.200000,0.340000,0.480000,0.400000,0.400000,0.611026
24,1.459005,-1.566374,0.227314,0.636817,0.007619,2.633808,0.240000,0.340000,0.480000,0.400000,0.400000,0.636817
25,1.465193,-1.564865,0.253653,0.662387,0.000836,2.709126,0.240000,0.320000,0.480000,0.400000,0.400000,0.662387
26,1.471602,-1.563194,0.280744,0.687706,-0.006727,2.780576,0.240000,0.320000,0.480000,0.400000,0.400000,0.687706
27,1.478229,-1.561354,0.308550,0.712743,-0.015082,2.848141,0.220000,0.320000,0.480000,0.400000,0.400000,0.712743
28,1.485065,-1.559333,0.337031,0.737467,-0.024234,2.911828,0.220000,0.320000,0.500000,0.400000,0.400000,0.737467
29,1.492105,-1.557123,0.366149,0.761847,-0.034191,2.971668,0.220000,0.320000,0.540000,0.400000,0.400000,0.761847
30,1.499341,-1.554715,0.395866,0.785849,-0.044955,3.027717,0.260000,0.320000,0.560000,0.400000,0.400000,0.785849
31,1.506765,-1.552099,0.426143,0.809443,-0.056525,3.080049,0.240000,0.360000,0.560000,0.400000,0.400000,0.809443
32,1.514369,-1.549268,0.456944,0.832595,-0.068899,3.128761,0.240000,0.360000,0.580000,0.400000,0.400000,0.832595
33,1.522145,-1.546213,0.488231,0.855273,-0.082070,3.173967,0.240000,0.360000,0.580000,0.400000,0.400000,0.855273
34,1.530084,-1.542926,0.519971,0.877445,-0.096031,3.215797,0.260000,0.360000,0.600000,0.400000,0.400000,0.877445
35,1.538176,-1.539399,0.552129,0.899080,-0.110771,3.254395,0.260000,0.340000,0.600000,0.400000,0.400000,0.899080
36,1.546411,-1.535627,0.584673,0.920147,-0.126278,3.289913,0.260000,0.340000,0.680000,0.400000,0.400000,0.920147
37,1.554781,-1.531601,0.617572,0.940615,-0.142535,3.322513,0.260000,0.400000,0.700000,0.400000,0.400000,0.940615
38,1.563275,-1.527317,0.650797,0.960457,-0.159525,3.352364,0.260000,0.400000,0.740000,0.400000,0.400000,0.960457
39,1.571883,-1.522767,0.684321,0.979643,-0.177230,3.379636,0.240000,0.400000,0.760000,0.400000,0.400000,0.979643
40,1.580594,-1.517948,0.718117,0.998146,-0.195628,3.404500,0.240000,0.400000,0.780000,0.500000,0.400000,0.998146
41,1.589398,-1.512853,0.752162,1.022940,-0.214696,3.427128,0.280000,0.400000,0.820000,0.500000,0.500000,1.022940
42,1.598335,-1.507432,0.786433,1.046000,-0.234707,3.446789,0.280000,0.400000,0.860000,0.500000,0.500000,1.046000
43,1.607385,-1.501686,0.820901,1.068301,-0.255578,3.463743,0.280000,0.480000,0.920000,0.500000,0.500000,1.068301
44,1.616536,-1.495611,0.855539,1.089813,-0.277272,3.478121,0.260000,0.480000,0.900000,0.500000,0.500000,1.089813
45,1.625776,-1.489202,0.890320,1.110510,-0.299747,3.490065,0.260000,0.480000,0.940000,0.600000,0.600000,1.110510
46,1.635093,-1.482456,0.925221,1.136447,-0.323306,3.485009,0.260000,0.500000,1.000000,0.600000,0.600000,1.136447
47,1.644513,-1.475324,0.960071,1.161560,-0.347631,3.477759,0.300000,0.500000,0.980000,0.600000,0.600000,1.161560
48,1.654022,-1.467801,0.994848,1.185833,-0.372672,3.468414,0.300000,0.600000,1.000000,0.600000,0.600000,1.185833
49,1.663606,-1.459886,1.029532,1.209254,-0.398374,3.457083,0.300000,0.600000,1.000000,0.600000,0.600000,1.209254
50,1.673250,-1.451574,1.064103,1.231814,-0.424684,3.443881,0.300000,0.640000,1.000000,0.600000,0.600000,1.231814
51,1.682942,-1.442865,1.098542,1.253506,-0.451549,3.428923,0.300000,0.660000,1.000000,0.600000,0.600000,1.253506
52,1.692665,-1.433756,1.132831,1.274326,-0.478915,3.412327,0.300000,0.680000,1.000000,0.600000,0.600000,1.274326
53,1.702406,-1.424246,1.166954,1.294275,-0.506730,3.394205,0.300000,0.720000,1.000000,0.600000,0.600000,1.294275
54,1.712152,-1.414336,1.200897,1.313355,-0.534941,3.374668,0.360000,0.760000,1.000000,0.600000,0.600000,1.313355
55,1.721888,-1.404025,1.234643,1.331570,-0.563497,3.353824,0.360000,0.800000,1.000000,0.600000,0.600000,1.331570
56,1.731600,-1.393313,1.268181,1.348929,-0.592348,3.331773,0.360000,0.800000,1.000000,0.600000,0.600000,1.348929
57,1.741274,-1.382202,1.301499,1.365441,-0.621444,3.308612,0.360000,0.780000,1.000000,0.600000,0.600000,1.365441
58,1.750897,-1.370693,1.334585,1.381118,-0.650739,3.284431,0.380000,0.860000,1.000000,0.600000,0.600000,1.381118
