step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-1.193760,-1.493811,-0.653823,0.000000,0.000000,0.000000,0.440000,0.620000,1.000000,0.100000,0.500000,0.000000
1,-1.193760,-1.493811,-0.653823,0.007000,0.000000,0.000000,0.440000,0.620000,1.000000,0.100000,0.500000,0.007000
2,-1.193704,-1.493854,-0.653823,0.014000,0.000000,0.000000,0.440000,0.600000,1.000000,0.100000,0.500000,0.014000
3,-1.193593,-1.493939,-0.653823,0.016731,0.007814,0.334217,0.440000,0.600000,1.000000,0.100000,0.500000,0.016731
4,-1.193413,-1.493979,-0.650481,0.027224,0.006697,-0.194383,0.440000,0.620000,1.000000,0.100000,0.500000,0.027224
5,-1.193156,-1.494090,-0.652425,0.030051,0.006788,0.499942,0.440000,0.620000,1.000000,0.100000,0.500000,0.030051
6,-1.192876,-1.494219,-0.647426,0.038732,0.010467,0.037983,0.440000,0.620000,1.000000,0.100000,0.500000,0.038732
7,-1.192504,-1.494369,-0.647046,0.043042,0.009401,0.540077,0.440000,0.620000,1.000000,0.100000,0.500000,0.043042
8,-1.192104,-1.494553,-0.641645,0.050497,0.013773,0.248209,0.440000,0.620000,1.000000,0.100000,0.500000,0.050497
9,-1.191617,-1.494745,-0.639163,0.056013,0.012940,0.536732,0.440000,0.620000,1.000000,0.100000,0.500000,0.056013
10,-1.191090,-1.494976,-0.633796,0.062649,0.016208,0.435660,0.440000,0.620000,1.000000,0.100000,0.500000,0.062649
11,-1.190489,-1.495216,-0.629439,0.068717,0.016774,0.562501,0.440000,0.620000,1.000000,0.100000,0.500000,0.068717
12,-1.189835,-1.495485,-0.623814,0.075056,0.018657,0.578452,0.440000,0.640000,1.000000,0.100000,0.500000,0.075056
13,-1.189117,-1.495772,-0.618030,0.081298,0.020004,0.636603,0.460000,0.640000,1.000000,0.100000,0.500000,0.081298
14,-1.188338,-1.496080,-0.611664,0.087572,0.021470,0.682812,0.460000,0.640000,1.000000,0.100000,0.500000,0.087572
15,-1.187498,-1.496407,-0.604835,0.093843,0.022888,0.731072,0.460000,0.640000,1.000000,0.100000,0.500000,0.093843
16,-1.186596,-1.496752,-0.597525,0.100118,0.024285,0.778938,0.460000,0.660000,1.000000,0.100000,0.500000,0.100118
17,-1.185632,-1.497115,-0.589735,0.106396,0.025657,0.826638,0.460000,0.660000,1.000000,0.100000,0.500000,0.106396
18,-1.184605,-1.497493,-0.581469,0.112676,0.027003,0.874155,0.460000,0.660000,1.000000,0.100000,0.500000,0.112676
19,-1.183515,-1.497887,-0.572727,0.118959,0.028320,0.921477,0.460000,0.680000,1.000000,0.100000,0.500000,0.118959
20,-1.182361,-1.498293,-0.563513,0.125244,0.029608,0.968591,0.460000,0.680000,1.000000,0.100000,0.500000,0.125244
21,-1.181145,-1.498712,-0.553827,0.131531,0.030865,1.015486,0.460000,0.700000,1.000000,0.100000,0.500000,0.131531
22,-1.179864,-1.499141,-0.543672,0.137820,0.032089,1.062149,0.480000,0.700000,1.000000,0.100000,0.500000,0.137820
23,-1.178518,-1.499580,-0.533050,0.144110,0.033278,1.108567,0.480000,0.720000,1.000000,0.100000,0.500000,0.144110
24,-1.177108,-1.500025,-0.521965,0.150401,0.034432,1.154728,0.480000,0.740000,1.000000,0.100000,0.500000,0.150401
25,-1.175632,-1.500477,-0.510417,0.156693,0.035549,1.200619,0.480000,0.740000,1.000000,0.100000,0.500000,0.156693
26,-1.174091,-1.500932,-0.498411,0.162985,0.036627,1.246227,0.480000,0.760000,1.000000,0.100000,0.500000,0.162985
27,-1.172485,-1.501389,-0.485949,0.169276,0.037665,1.291539,0.500000,0.780000,1.000000,0.100000,0.500000,0.169276
28,-1.170812,-1.501847,-0.473034,0.175566,0.038661,1.336541,0.500000,0.800000,1.000000,0.100000,0.500000,0.175566
29,-1.169073,-1.502303,-0.459668,0.181854,0.039614,1.381220,0.500000,0.820000,1.000000,0.100000,0.500000,0.181854
30,-1.167268,-1.502754,-0.445856,0.188138,0.040522,1.425563,0.520000,0.840000,1.000000,0.100000,0.500000,0.188138
31,-1.165395,-1.503200,-0.431600,0.194420,0.041384,1.469555,0.520000,0.860000,1.000000,0.100000,0.500000,0.194420
32,-1.163456,-1.503638,-0.416905,0.200696,0.042199,1.513183,0.520000,0.900000,1.000000,0.100000,0.500000,0.200696
33,-1.161450,-1.504064,-0.401773,0.206967,0.042965,1.556432,0.540000,0.920000,1.000000,0.100000,0.500000,0.206967
34,-1.159378,-1.504478,-0.386209,0.213231,0.043681,1.599290,0.540000,0.960000,1.000000,0.100000,0.500000,0.213231
35,-1.157238,-1.504877,-0.370216,0.219488,0.044346,1.641741,0.560000,1.000000,1.000000,0.100000,0.500000,0.219488
36,-1.155031,-1.505258,-0.353798,0.225735,0.044958,1.683772,0.560000,1.000000,1.000000,0.100000,0.500000,0.225735
37,-1.152758,-1.505618,-0.336961,0.231971,0.045516,1.725368,0.580000,1.000000,1.000000,0.100000,0.500000,0.231971
38,-1.150418,-1.505955,-0.319707,0.238196,0.046018,1.766515,0.580000,1.000000,1.000000,0.100000,0.500000,0.238196
39,-1.148012,-1.506267,-0.302042,0.244408,0.046464,1.807199,0.600000,1.000000,0.960000,0.100000,0.400000,0.244408
40,-1.145541,-1.506550,-0.283970,0.252055,0.044300,1.738241,0.600000,1.000000,0.700000,0.050000,0.000000,0.252055
41,-1.142997,-1.506831,-0.266587,0.256319,0.033825,1.318439,0.620000,1.000000,0.560000,0.050000,-0.200000,0.256319
42,-1.140435,-1.507180,-0.253403,0.258520,0.023144,0.889070,0.640000,1.000000,0.480000,0.050000,-0.350000,0.258520
43,-1.137874,-1.507604,-0.244512,0.259104,0.013128,0.484242,0.640000,1.000000,0.460000,0.050000,-0.400000,0.259104
44,-1.135329,-1.508104,-0.239670,0.259185,0.004026,0.114202,0.640000,1.000000,0.440000,0.050000,-0.450000,0.259185
45,-1.132801,-1.508680,-0.238528,0.258864,-0.004212,-0.222356,0.640000,1.000000,0.440000,0.050000,-0.450000,0.258864
46,-1.130296,-1.509333,-0.240751,0.258761,-0.011517,-0.521656,0.640000,1.000000,0.440000,0.050000,-0.450000,0.258761
47,-1.127810,-1.510062,-0.245968,0.258963,-0.017857,-0.781842,0.640000,1.000000,0.480000,0.050000,-0.350000,0.258963
48,-1.125342,-1.510866,-0.253786,0.260775,-0.021866,-0.944519,0.620000,1.000000,0.520000,0.050000,-0.300000,0.260775
49,-1.122873,-1.511732,-0.263232,0.263485,-0.023818,-1.022667,0.620000,1.000000,0.580000,0.050000,-0.150000,0.263485
50,-1.120391,-1.512648,-0.273458,0.267453,-0.020875,-0.895212,0.620000,1.000000,0.680000,0.050000,0.000000,0.267453
51,-1.117872,-1.513571,-0.282410,0.271134,-0.014736,-0.634346,0.600000,1.000000,0.780000,0.050000,0.150000,0.271134
52,-1.115309,-1.514468,-0.288754,0.273719,-0.007161,-0.312650,0.600000,1.000000,0.860000,0.050000,0.300000,0.273719
53,-1.112706,-1.515316,-0.291880,0.274920,0.000782,0.026567,0.600000,1.000000,0.920000,0.100000,0.400000,0.274920
54,-1.110070,-1.516100,-0.291615,0.278732,0.008246,0.347835,0.600000,1.000000,0.940000,0.100000,0.400000,0.278732
55,-1.107377,-1.516822,-0.288136,0.282811,0.014634,0.626230,0.600000,1.000000,0.880000,0.050000,0.300000,0.282811
56,-1.104624,-1.517485,-0.281874,0.284891,0.018458,0.798973,0.600000,1.000000,0.820000,0.050000,0.250000,0.284891
57,-1.101836,-1.518100,-0.273884,0.287758,0.020156,0.882500,0.600000,1.000000,0.740000,0.050000,0.100000,0.287758
58,-1.099011,-1.518685,-0.265059,0.291605,0.016918,0.755746,0.600000,1.000000,0.660000,0.050000,-0.050000,0.291605
59,-1.096153,-1.519285,-0.257502,0.294973,0.010610,0.494539,0.620000,1.000000,0.620000,0.050000,-0.100000,0.294973
60,-1.093273,-1.519934,-0.252556,0.298010,0.004746,0.245710,0.620000,1.000000,0.600000,0.050000,-0.150000,0.298010
61,-1.090376,-1.520633,-0.250099,0.300736,-0.000750,0.006670,0.620000,1.000000,0.580000,0.050000,-0.150000,0.300736
62,-1.087464,-1.521384,-0.250033,0.303593,-0.004863,-0.178501,0.620000,1.000000,0.580000,0.050000,-0.150000,0.303593
63,-1.084534,-1.522183,-0.251818,0.306578,-0.007850,-0.318836,0.620000,1.000000,0.600000,0.050000,-0.150000,0.306578
64,-1.081585,-1.523022,-0.255006,0.309672,-0.009970,-0.424034,0.620000,1.000000,0.640000,0.050000,-0.100000,0.309672
65,-1.078613,-1.523900,-0.259246,0.313119,-0.009970,-0.439555,0.600000,1.000000,0.660000,0.050000,-0.050000,0.313119
66,-1.075612,-1.524799,-0.263642,0.316689,-0.008395,-0.385791,0.600000,1.000000,0.720000,0.050000,0.050000,0.316689
67,-1.072577,-1.525705,-0.267500,0.320047,-0.004333,-0.221508,0.600000,1.000000,0.760000,0.050000,0.150000,0.320047
68,-1.069502,-1.526593,-0.269715,0.322790,0.001074,0.008552,0.600000,1.000000,0.780000,0.050000,0.150000,0.322790
69,-1.066388,-1.527443,-0.269629,0.325654,0.005112,0.190101,0.600000,1.000000,0.800000,0.050000,0.200000,0.325654
70,-1.063235,-1.528261,-0.267728,0.328219,0.009231,0.381567,0.600000,1.000000,0.780000,0.050000,0.150000,0.328219
71,-1.060045,-1.529040,-0.263913,0.331347,0.010958,0.476991,0.600000,1.000000,0.760000,0.050000,0.150000,0.331347
72,-1.056818,-1.529799,-0.259143,0.334549,0.012133,0.549724,0.600000,1.000000,0.720000,0.050000,0.050000,0.334549
73,-1.053553,-1.530539,-0.253645,0.338158,0.009867,0.475366,0.600000,1.000000,0.680000,0.050000,0.000000,0.338158
74,-1.050255,-1.531292,-0.248892,0.341695,0.006721,0.355760,0.600000,1.000000,0.660000,0.050000,-0.050000,0.341695
75,-1.046927,-1.532069,-0.245334,0.345060,0.003026,0.203798,0.600000,1.000000,0.640000,0.050000,-0.100000,0.345060
76,-1.043572,-1.532877,-0.243296,0.348187,-0.000980,0.028998,0.600000,1.000000,0.640000,0.050000,-0.100000,0.348187
77,-1.040195,-1.533726,-0.243006,0.351379,-0.003855,-0.107051,0.600000,1.000000,0.640000,0.050000,-0.100000,0.351379
78,-1.036794,-1.534609,-0.244077,0.354630,-0.005864,-0.211955,0.600000,1.000000,0.660000,0.050000,-0.050000,0.354630
79,-1.033367,-1.535522,-0.246196,0.358107,-0.005722,-0.228019,0.600000,1.000000,0.680000,0.050000,0.000000,0.358107
80,-1.029908,-1.536451,-0.248477,0.361609,-0.004014,-0.174149,0.600000,1.000000,0.700000,0.050000,0.000000,0.361609
81,-1.026413,-1.537379,-0.250218,0.365105,-0.002773,-0.132988,0.600000,1.000000,0.720000,0.050000,0.050000,0.365105
82,-1.022882,-1.538310,-0.251548,0.368494,-0.000363,-0.036847,0.600000,1.000000,0.740000,0.050000,0.100000,0.368494
83,-1.019314,-1.539231,-0.251916,0.371673,0.002775,0.098833,0.600000,1.000000,0.740000,0.050000,0.100000,0.371673
84,-1.015708,-1.540130,-0.250928,0.374908,0.005002,0.205688,0.600000,1.000000,0.740000,0.050000,0.100000,0.374908
85,-1.012064,-1.541013,-0.248871,0.378191,0.006538,0.289437,0.600000,1.000000,0.740000,0.050000,0.100000,0.378191
86,-1.008382,-1.541881,-0.245977,0.381513,0.007559,0.355000,0.600000,1.000000,0.720000,0.050000,0.050000,0.381513
87,-1.004664,-1.542736,-0.242427,0.385022,0.006678,0.341150,0.600000,1.000000,0.700000,0.050000,0.000000,0.385022
88,-1.000910,-1.543596,-0.239015,0.388532,0.004446,0.264668,0.600000,1.000000,0.700000,0.050000,0.000000,0.388532
89,-0.997124,-1.544472,-0.236369,0.392031,0.002831,0.205059,0.600000,1.000000,0.680000,0.050000,0.000000,0.392031
90,-0.993307,-1.545363,-0.234318,0.395524,0.001678,0.158690,0.600000,1.000000,0.680000,0.050000,0.000000,0.395524
91,-0.989455,-1.546265,-0.232731,0.399013,0.000866,0.122656,0.600000,1.000000,0.680000,0.050000,0.000000,0.399013
92,-0.985571,-1.547177,-0.231505,0.402501,0.000306,0.094672,0.600000,1.000000,0.680000,0.050000,0.000000,0.402501
93,-0.981653,-1.548097,-0.230558,0.405987,-0.000071,0.072950,0.600000,1.000000,0.680000,0.050000,0.000000,0.405987
94,-0.977700,-1.549026,-0.229828,0.409473,-0.000314,0.056097,0.600000,1.000000,0.680000,0.050000,0.000000,0.409473
95,-0.973714,-1.549962,-0.229267,0.412959,-0.000462,0.043032,0.600000,1.000000,0.680000,0.050000,0.000000,0.412959
96,-0.969693,-1.550905,-0.228837,0.416444,-0.000543,0.032913,0.600000,1.000000,0.680000,0.050000,0.000000,0.416444
97,-0.965639,-1.551855,-0.228508,0.419929,-0.000577,0.025083,0.600000,1.000000,0.680000,0.050000,0.000000,0.419929
98,-0.961550,-1.552812,-0.228257,0.423414,-0.000579,0.019033,0.600000,1.000000,0.700000,0.050000,0.000000,0.423414
99,-0.957427,-1.553775,-0.228067,0.426898,-0.000560,0.014367,0.600000,1.000000,0.700000,0.050000,0.000000,0.426898
100,-0.953270,-1.554746,-0.227923,0.430383,-0.000528,0.010776,0.580000,1.000000,0.700000,0.050000,0.000000,0.430383
101,-0.949079,-1.555724,-0.227815,0.433867,-0.000488,0.008019,0.580000,1.000000,0.700000,0.050000,0.000000,0.433867
102,-0.944853,-1.556708,-0.227735,0.437351,-0.000445,0.005910,0.580000,1.000000,0.720000,0.050000,0.050000,0.437351
103,-0.940593,-1.557700,-0.227676,0.440757,0.001132,0.069918,0.580000,1.000000,0.720000,0.050000,0.050000,0.440757
104,-0.936297,-1.558684,-0.226977,0.444175,0.002234,0.121847,0.580000,1.000000,0.720000,0.050000,0.050000,0.444175
105,-0.931964,-1.559662,-0.225758,0.447604,0.002971,0.163946,0.580000,1.000000,0.720000,0.050000,0.050000,0.447604
106,-0.927595,-1.560635,-0.224119,0.451041,0.003434,0.198084,0.580000,1.000000,0.720000,0.050000,0.050000,0.451041
107,-0.923190,-1.561603,-0.222138,0.454484,0.003692,0.225793,0.580000,1.000000,0.720000,0.050000,0.050000,0.454484
108,-0.918749,-1.562569,-0.219880,0.457933,0.003798,0.248321,0.580000,1.000000,0.700000,0.050000,0.000000,0.457933
109,-0.914271,-1.563530,-0.217397,0.461424,0.002246,0.200535,0.580000,1.000000,0.700000,0.050000,0.000000,0.461424
110,-0.909761,-1.564504,-0.215392,0.464911,0.001103,0.161602,0.580000,1.000000,0.700000,0.050000,0.000000,0.464911
111,-0.905217,-1.565487,-0.213776,0.468394,0.000277,0.129935,0.580000,1.000000,0.700000,0.050000,0.000000,0.468394
112,-0.900639,-1.566478,-0.212476,0.471875,-0.000306,0.104216,0.580000,1.000000,0.700000,0.050000,0.000000,0.471875
113,-0.896027,-1.567476,-0.211434,0.475356,-0.000705,0.083358,0.580000,1.000000,0.700000,0.050000,0.000000,0.475356
114,-0.891381,-1.568480,-0.210600,0.478836,-0.000964,0.066467,0.580000,1.000000,0.700000,0.050000,0.000000,0.478836
115,-0.886700,-1.569491,-0.209936,0.482316,-0.001119,0.052812,0.580000,1.000000,0.700000,0.050000,0.000000,0.482316
116,-0.881985,-1.570507,-0.209408,0.485796,-0.001197,0.041791,0.580000,1.000000,0.700000,0.050000,0.000000,0.485796
117,-0.877236,-1.571528,-0.208990,0.489275,-0.001220,0.032915,0.580000,1.000000,0.700000,0.050000,0.000000,0.489275
118,-0.872452,-1.572555,-0.208661,0.492754,-0.001202,0.025781,0.580000,1.000000,0.720000,0.050000,0.050000,0.492754
119,-0.867634,-1.573588,-0.208403,0.496155,0.000376,0.085669,0.580000,1.000000,0.720000,0.050000,0.050000,0.496155
120,-0.862779,-1.574611,-0.207546,0.499566,0.001480,0.135629,0.580000,1.000000,0.720000,0.050000,0.050000,0.499566
121,-0.857887,-1.575626,-0.206190,0.502986,0.002215,0.177243,0.580000,1.000000,0.720000,0.050000,0.050000,0.502986
122,-0.852960,-1.576634,-0.204417,0.506414,0.002662,0.211872,0.580000,1.000000,0.720000,0.050000,0.050000,0.506414
123,-0.847995,-1.577636,-0.202299,0.509848,0.002888,0.240678,0.580000,1.000000,0.700000,0.050000,0.000000,0.509848
124,-0.842995,-1.578632,-0.199892,0.513332,0.001400,0.198526,0.580000,1.000000,0.700000,0.050000,0.000000,0.513332
125,-0.837961,-1.579637,-0.197907,0.516813,0.000292,0.163328,0.580000,1.000000,0.700000,0.050000,0.000000,0.516813
126,-0.832893,-1.580651,-0.196273,0.520290,-0.000516,0.133995,0.580000,1.000000,0.700000,0.050000,0.000000,0.520290
127,-0.827791,-1.581670,-0.194933,0.523766,-0.001089,0.109596,0.580000,1.000000,0.700000,0.050000,0.000000,0.523766
128,-0.822655,-1.582696,-0.193837,0.527242,-0.001480,0.089339,0.580000,1.000000,0.700000,0.050000,0.000000,0.527242
129,-0.817484,-1.583726,-0.192944,0.530717,-0.001729,0.072554,0.580000,1.000000,0.700000,0.050000,0.000000,0.530717
130,-0.812279,-1.584760,-0.192219,0.534192,-0.001870,0.058675,0.580000,1.000000,0.700000,0.050000,0.000000,0.534192
