step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,-1.201982,1.421775,-1.471863,0.000000,0.000000,0.000000,1.000000,0.020000,0.020000,0.903226,-1.000000,0.000000
1,-1.201982,1.421775,-1.471863,0.063226,0.000000,0.000000,1.000000,0.020000,0.020000,0.903226,-1.000000,0.063226
2,-1.201920,1.421146,-1.471863,0.118086,-0.005371,-0.229722,1.000000,0.020000,0.020000,0.903226,-1.000000,0.118086
3,-1.201857,1.419965,-1.474161,0.173016,-0.011073,-0.426756,1.000000,0.020000,0.020000,0.903226,-1.000000,0.173016
4,-1.201800,1.418232,-1.478428,0.228004,-0.016247,-0.625266,1.000000,0.020000,0.020000,0.903226,-1.000000,0.228004
5,-1.201751,1.415947,-1.484681,0.283058,-0.020788,-0.820373,1.000000,0.020000,0.020000,0.903226,-1.000000,0.283058
6,-1.201715,1.413109,-1.492885,0.338185,-0.024529,-1.010427,1.000000,0.020000,0.020000,0.903226,-1.000000,0.338185
7,-1.201696,1.409718,-1.502989,0.393387,-0.027305,-1.194081,1.000000,0.040000,0.020000,0.903226,-1.000000,0.393387
8,-1.201702,1.405775,-1.514930,0.448662,-0.028959,-1.370094,1.000000,0.040000,0.020000,0.903226,-1.000000,0.448662
9,-1.201741,1.401279,-1.528631,0.504001,-0.029349,-1.537316,1.000000,0.040000,0.020000,0.903226,-1.000000,0.504001
10,-1.201822,1.396231,-1.544004,0.559384,-0.028347,-1.694700,1.000000,0.060000,0.020000,0.903226,-1.000000,0.559384
11,-1.201955,1.390632,-1.560951,0.614784,-0.025842,-1.841320,1.000000,0.160000,0.020000,0.903226,-1.000000,0.614784
12,-1.202153,1.384482,-1.579364,0.670166,-0.021744,-1.976384,1.000000,0.280000,0.020000,0.903226,-1.000000,0.670166
13,-1.202428,1.377782,-1.599128,0.725487,-0.015983,-2.099246,1.000000,0.280000,0.020000,0.903226,-1.000000,0.725487
14,-1.202793,1.370535,-1.620120,0.780699,-0.008507,-2.209424,1.000000,0.260000,0.020000,0.903226,-1.000000,0.780699
15,-1.203263,1.362742,-1.642214,0.835747,0.000709,-2.306594,1.000000,0.260000,0.020000,0.903226,-1.000000,0.835747
16,-1.203852,1.354405,-1.665280,0.890574,0.011672,-2.390598,1.000000,0.260000,0.020000,0.903226,-1.000000,0.890574
17,-1.204576,1.345528,-1.689186,0.945122,0.024367,-2.461437,0.980000,0.240000,0.020000,0.870968,-1.000000,0.945122
18,-1.205451,1.336114,-1.713801,0.997073,0.038757,-2.519258,0.940000,0.240000,0.040000,0.870968,-1.000000,0.997073
19,-1.206488,1.326190,-1.738993,1.048631,0.054724,-2.564000,0.880000,1.000000,0.040000,0.870968,-1.000000,1.048631
20,-1.207704,1.315760,-1.764633,1.099746,0.072191,-2.596156,0.840000,1.000000,0.040000,0.870968,-1.000000,1.099746
21,-1.209114,1.304829,-1.790595,1.150372,0.091066,-2.616300,0.820000,1.000000,0.060000,0.870968,-0.967742,1.150372
22,-1.210733,1.293404,-1.816758,1.200666,0.110988,-2.636074,0.780000,1.000000,0.100000,0.870968,-0.903226,1.200666
23,-1.212580,1.281488,-1.843119,1.250811,0.131743,-2.666118,0.740000,1.000000,0.140000,0.870968,-0.806452,1.250811
24,-1.214676,1.269087,-1.869780,1.301039,0.153308,-2.714510,0.720000,1.000000,0.180000,0.870968,-0.741935,1.301039
25,-1.217043,1.256202,-1.896925,1.351102,0.176238,-2.769940,0.700000,1.000000,0.180000,0.870968,-0.741935,1.351102
26,-1.219702,1.242839,-1.924624,1.400421,0.201064,-2.816225,0.660000,1.000000,0.160000,0.870968,-0.774194,1.400421
27,-1.222668,1.229005,-1.952787,1.448682,0.227891,-2.845447,0.640000,1.000000,0.160000,0.870968,-0.774194,1.448682
28,-1.225954,1.214713,-1.981241,1.496099,0.256305,-2.866141,0.620000,1.000000,0.140000,0.870968,-0.806452,1.496099
29,-1.229573,1.199972,-2.009902,1.542390,0.286402,-2.869914,0.600000,0.980000,0.140000,0.870968,-0.806452,1.542390
30,-1.233538,1.184794,-2.038602,1.587787,0.317713,-2.866125,0.580000,0.920000,1.000000,0.870968,0.870968,1.587787
31,-1.237862,1.169189,-2.067263,1.632055,0.363184,-2.296182,0.560000,0.880000,1.000000,0.870968,0.870968,1.632055
32,-1.242443,1.153109,-2.090225,1.677128,0.400475,-1.723071,0.540000,0.820000,1.000000,0.870968,0.870968,1.677128
33,-1.247291,1.136562,-2.107455,1.723674,0.429111,-1.149712,0.520000,0.800000,1.000000,0.870968,0.870968,1.723674
34,-1.252416,1.119554,-2.118952,1.772212,0.448651,-0.578644,0.520000,0.780000,1.000000,0.870968,0.870968,1.772212
35,-1.257822,1.102091,-2.124739,1.823102,0.458681,-0.012322,0.520000,0.760000,1.000000,0.870968,0.870968,1.823102
36,-1.263511,1.084173,-2.124862,1.876532,0.458808,0.546586,0.500000,0.740000,1.000000,0.870968,0.870968,1.876532
37,-1.269483,1.065801,-2.119396,1.932513,0.448665,1.094887,0.500000,0.740000,1.000000,0.870968,0.870968,1.932513
38,-1.275733,1.046972,-2.108447,1.990871,0.427937,1.628530,0.500000,0.760000,1.000000,0.870968,0.870968,1.990871
39,-1.282253,1.027681,-2.092162,2.051246,0.396387,2.142265,0.500000,0.760000,1.000000,0.870968,0.870968,2.051246
40,-1.289032,1.007919,-2.070739,2.113092,0.353911,2.629361,0.500000,0.780000,1.000000,0.870968,0.870968,2.113092
41,-1.296056,0.987678,-2.044446,2.175693,0.300593,3.081545,0.500000,0.800000,1.000000,0.870968,0.870968,2.175693
42,-1.303305,0.966945,-2.013630,2.238188,0.236765,3.489425,0.520000,0.940000,1.000000,0.870968,0.870968,2.238188
43,-1.310756,0.945708,-1.978736,2.299615,0.163053,3.843673,0.520000,1.000000,1.000000,0.870968,0.870968,2.299615
44,-1.318383,0.923952,-1.940299,2.358982,0.080370,4.136965,0.540000,1.000000,0.940000,0.870968,0.741935,2.358982
45,-1.326153,0.901664,-1.898930,2.416381,-0.009406,4.396943,0.560000,1.000000,0.940000,0.870968,0.741935,2.416381
46,-1.334029,0.878820,-1.854960,2.469961,-0.106461,4.595566,0.580000,1.000000,0.640000,0.870968,0.161290,2.469961
47,-1.341976,0.855409,-1.809005,2.524824,-0.212395,4.615668,0.600000,1.000000,0.620000,0.870968,0.129032,2.524824
48,-1.349997,0.831375,-1.762848,2.574859,-0.320104,4.597679,0.640000,1.000000,0.520000,0.870968,-0.064516,2.574859
49,-1.358054,0.806711,-1.716871,2.620560,-0.433119,4.358714,0.660000,1.000000,0.440000,0.870968,-0.225806,2.620560
50,-1.366154,0.781415,-1.673284,2.661336,-0.544770,3.944280,0.800000,1.000000,0.400000,0.870968,-0.322581,2.661336
51,-1.374296,0.755498,-1.633841,2.698757,-0.647914,3.457335,0.960000,1.000000,0.360000,0.870968,-0.387097,2.698757
52,-1.382462,0.728973,-1.599268,2.734760,-0.739492,2.937614,1.000000,1.000000,0.340000,0.903226,-0.419355,2.734760
53,-1.390633,0.701847,-1.569892,2.773550,-0.817775,2.412261,1.000000,1.000000,0.340000,0.903226,-0.419355,2.773550
54,-1.398785,0.674104,-1.545769,2.814584,-0.881891,1.905550,1.000000,1.000000,0.340000,0.903226,-0.419355,2.814584
55,-1.406897,0.645746,-1.526714,2.858745,-0.932143,1.416167,1.000000,1.000000,0.340000,0.903226,-0.419355,2.858745
56,-1.414950,0.616776,-1.512552,2.906664,-0.968808,0.941407,1.000000,0.900000,0.340000,0.903226,-0.419355,2.906664
57,-1.422929,0.587194,-1.503138,2.958762,-0.992067,0.477860,1.000000,0.880000,0.360000,0.903226,-0.387097,2.958762
58,-1.430827,0.557004,-1.498359,3.015719,-1.001153,0.056900,1.000000,0.900000,0.360000,0.903226,-0.387097,3.015719
59,-1.438630,0.526201,-1.497790,3.076827,-0.997851,-0.360523,1.000000,0.920000,0.380000,0.903226,-0.354839,3.076827
60,-1.446337,0.494787,-1.501396,3.142433,-0.981040,-0.739806,1.000000,0.880000,0.360000,0.903226,-0.387097,3.142433
61,-1.453945,0.462758,-1.508794,3.211177,-0.953296,-1.159601,1.000000,0.860000,0.320000,0.903226,-0.451613,3.211177
62,-1.461470,0.430117,-1.520390,3.282666,-0.913484,-1.645329,1.000000,0.980000,0.340000,0.903226,-0.419355,3.282666
63,-1.468939,0.396872,-1.536843,3.358409,-0.856771,-2.103427,1.000000,1.000000,0.380000,0.903226,-0.354839,3.358409
64,-1.476362,0.363016,-1.557877,3.437771,-0.782682,-2.498847,0.920000,1.000000,0.400000,0.903226,-0.322581,3.437771
65,-1.483744,0.328540,-1.582866,3.518789,-0.693562,-2.862411,0.840000,1.000000,0.460000,0.903226,-0.193548,3.518789
66,-1.491104,0.293439,-1.611490,3.600952,-0.587245,-3.068982,0.760000,1.000000,0.460000,0.903226,-0.193548,3.600952
67,-1.498436,0.257698,-1.642180,3.681046,-0.472869,-3.279046,0.700000,1.000000,0.440000,0.903226,-0.225806,3.681046
68,-1.505778,0.221318,-1.674970,3.758125,-0.351149,-3.525657,0.640000,1.000000,0.520000,0.903226,-0.064516,3.758125
69,-1.513179,0.184306,-1.710227,3.832635,-0.214869,-3.554245,0.580000,1.000000,0.640000,0.903226,0.161290,3.832635
70,-1.520633,0.146650,-1.745769,3.901239,-0.071604,-3.332302,0.540000,1.000000,0.620000,0.903226,0.129032,3.901239
71,-1.528129,0.108358,-1.779092,3.964932,0.062839,-3.111566,0.500000,1.000000,0.740000,0.903226,0.354839,3.964932
72,-1.535714,0.069436,-1.810208,4.022130,0.192168,-2.727693,0.460000,1.000000,1.000000,0.903226,0.870968,4.022130
73,-1.543385,0.029906,-1.837485,4.071222,0.305882,-2.344259,0.440000,1.000000,1.000000,0.903226,0.870968,4.071222
74,-1.551163,-0.010173,-1.860927,4.118379,0.404590,-1.927122,0.420000,0.980000,1.000000,0.903226,0.870968,4.118379
75,-1.559068,-0.050793,-1.880198,4.164902,0.486666,-1.484836,0.400000,0.900000,1.000000,0.903226,0.870968,4.164902
76,-1.567114,-0.091946,-1.895047,4.211989,0.550815,-1.024905,0.380000,0.840000,1.000000,0.903226,0.870968,4.211989
77,-1.575313,-0.133626,-1.905296,4.260643,0.596029,-0.553811,0.360000,0.800000,1.000000,0.903226,0.870968,4.260643
78,-1.583670,-0.175828,-1.910834,4.311623,0.621532,-0.077245,0.340000,0.760000,1.000000,0.903226,0.870968,4.311623
79,-1.592191,-0.218548,-1.911606,4.365397,0.626747,0.399577,0.340000,0.740000,1.000000,0.903226,0.870968,4.365397
80,-1.600875,-0.261786,-1.907611,4.422119,0.611283,0.871575,0.320000,0.740000,1.000000,0.903226,0.870968,4.422119
81,-1.609720,-0.305543,-1.898895,4.481619,0.574932,1.333485,0.320000,0.740000,1.000000,0.903226,0.870968,4.481619
82,-1.618719,-0.349821,-1.885560,4.543403,0.517701,1.779577,0.320000,0.740000,1.000000,0.903226,0.870968,4.543403
