step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,0.139000,1.612289,2.711280,0.000000,0.000000,0.000000,0.460000,0.760000,1.000000,0.100000,-0.400000,0.000000
1,0.139000,1.612289,2.711280,0.007000,0.000000,0.000000,0.460000,0.760000,1.000000,0.100000,-0.400000,0.007000
2,0.138936,1.612318,2.711280,0.014000,0.000000,0.000000,0.460000,0.760000,1.000000,0.100000,-0.400000,0.014000
3,0.138809,1.612376,2.711280,0.017799,-0.007570,-0.323780,0.460000,0.760000,1.000000,0.100000,-0.400000,0.017799
4,0.138679,1.612519,2.708042,0.027882,-0.005248,0.227408,0.440000,0.740000,1.000000,0.100000,-0.400000,0.027882
5,0.138448,1.612684,2.710316,0.031525,-0.005717,-0.476359,0.460000,0.760000,1.000000,0.100000,-0.400000,0.031525
6,0.138185,1.612868,2.705553,0.040269,-0.008303,0.028248,0.440000,0.740000,1.000000,0.100000,-0.400000,0.040269
7,0.137855,1.613113,2.705835,0.045029,-0.007741,-0.483690,0.440000,0.740000,1.000000,0.100000,-0.400000,0.045029
8,0.137480,1.613373,2.700998,0.052668,-0.011212,-0.173990,0.440000,0.740000,1.000000,0.100000,-0.400000,0.052668
9,0.137051,1.613700,2.699258,0.058516,-0.010584,-0.453319,0.440000,0.740000,1.000000,0.100000,-0.400000,0.058516
10,0.136568,1.614046,2.694725,0.065386,-0.013202,-0.351474,0.440000,0.720000,1.000000,0.100000,-0.400000,0.065386
11,0.136035,1.614447,2.691210,0.071759,-0.013729,-0.460270,0.440000,0.720000,1.000000,0.100000,-0.400000,0.071759
12,0.135449,1.614883,2.686608,0.078351,-0.015207,-0.474080,0.440000,0.720000,1.000000,0.100000,-0.400000,0.078351
13,0.134812,1.615364,2.681867,0.084871,-0.016331,-0.520552,0.440000,0.700000,1.000000,0.100000,-0.500000,0.084871
14,0.134124,1.615887,2.676661,0.089950,-0.019902,-0.660930,0.440000,0.700000,1.000000,0.100000,-0.500000,0.089950
15,0.133409,1.616468,2.670052,0.095778,-0.022416,-0.727641,0.420000,0.680000,1.000000,0.100000,-0.500000,0.095778
16,0.132657,1.617103,2.662776,0.101869,-0.024250,-0.783830,0.420000,0.680000,1.000000,0.100000,-0.500000,0.101869
17,0.131865,1.617788,2.654937,0.108066,-0.025810,-0.835127,0.420000,0.660000,1.000000,0.100000,-0.500000,0.108066
18,0.131031,1.618521,2.646586,0.114308,-0.027240,-0.884295,0.420000,0.660000,1.000000,0.100000,-0.500000,0.114308
19,0.130154,1.619304,2.637743,0.120573,-0.028595,-0.932407,0.420000,0.640000,1.000000,0.100000,-0.600000,0.120573
20,0.129236,1.620136,2.628419,0.125175,-0.031980,-1.068913,0.420000,0.620000,1.000000,0.100000,-0.600000,0.125175
21,0.128303,1.621030,2.617730,0.130317,-0.034752,-1.162718,0.400000,0.620000,1.000000,0.100000,-0.600000,0.130317
22,0.127348,1.621982,2.606103,0.135781,-0.037015,-1.237879,0.400000,0.600000,1.000000,0.100000,-0.700000,0.135781
23,0.126369,1.622993,2.593724,0.139651,-0.040555,-1.373240,0.400000,0.580000,1.000000,0.100000,-0.700000,0.139651
24,0.125388,1.624067,2.579992,0.144021,-0.043577,-1.478628,0.400000,0.580000,1.000000,0.100000,-0.700000,0.144021
25,0.124402,1.625203,2.565205,0.148750,-0.046135,-1.566726,0.380000,0.560000,1.000000,0.100000,-0.700000,0.148750
26,0.123406,1.626400,2.549538,0.153732,-0.048325,-1.644088,0.380000,0.540000,1.000000,0.100000,-0.800000,0.153732
27,0.122400,1.627659,2.533097,0.157064,-0.051437,-1.765774,0.380000,0.540000,1.000000,0.100000,-0.800000,0.157064
28,0.121405,1.628979,2.515439,0.160779,-0.054203,-1.868298,0.360000,0.520000,1.000000,0.100000,-0.800000,0.160779
29,0.120420,1.630361,2.496756,0.164800,-0.056637,-1.957971,0.360000,0.500000,1.000000,0.100000,-0.900000,0.164800
30,0.119443,1.631804,2.477177,0.167357,-0.059444,-2.067002,0.360000,0.480000,0.960000,0.100000,-0.900000,0.167357
