step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,1.810755,-0.954302,3.064969,0.000000,0.000000,0.000000,0.240000,0.220000,0.260000,0.133333,-0.111111,0.000000
1,1.810755,-0.954302,3.064969,0.009333,0.000000,0.000000,0.240000,0.220000,0.260000,0.133333,-0.111111,0.009333
2,1.810662,-0.954295,3.064969,0.018667,0.000000,0.000000,0.240000,0.220000,0.260000,0.133333,-0.111111,0.018667
3,1.810476,-0.954281,3.064969,0.027635,-0.003275,-0.140056,0.240000,0.220000,0.260000,0.133333,-0.111111,0.027635
4,1.810203,-0.954227,3.063569,0.037445,-0.000646,0.120777,0.240000,0.220000,0.260000,0.133333,-0.111111,0.037445
5,1.809830,-0.954191,3.064777,0.046206,-0.001985,-0.284569,0.240000,0.220000,0.260000,0.133333,-0.111111,0.046206
6,1.809371,-0.954136,3.061931,0.055897,-0.003364,0.078057,0.240000,0.220000,0.260000,0.133333,-0.111111,0.055897
7,1.808816,-0.954058,3.062712,0.064923,-0.002769,-0.202913,0.240000,0.220000,0.260000,0.133333,-0.111111,0.064923
8,1.808171,-0.953979,3.060682,0.074335,-0.003997,-0.076513,0.240000,0.220000,0.260000,0.133333,-0.111111,0.074335
9,1.807434,-0.953879,3.059917,0.083576,-0.004115,-0.145827,0.240000,0.220000,0.260000,0.133333,-0.111111,0.083576
10,1.806604,-0.953770,3.058459,0.092875,-0.004636,-0.147225,0.240000,0.220000,0.260000,0.133333,-0.111111,0.092875
11,1.805682,-0.953647,3.056987,0.102161,-0.005059,-0.163678,0.240000,0.220000,0.260000,0.133333,-0.111111,0.102161
12,1.804669,-0.953510,3.055350,0.111448,-0.005482,-0.178414,0.240000,0.220000,0.260000,0.133333,-0.111111,0.111448
13,1.803563,-0.953360,3.053566,0.120736,-0.005894,-0.193148,0.240000,0.220000,0.260000,0.133333,-0.111111,0.120736
14,1.802366,-0.953195,3.051634,0.130024,-0.006296,-0.207851,0.240000,0.220000,0.260000,0.133333,-0.111111,0.130024
15,1.801076,-0.953015,3.049556,0.139312,-0.006685,-0.222520,0.240000,0.220000,0.260000,0.133333,-0.111111,0.139312
