step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,0.721028,1.437183,0.408714,0.000000,0.000000,0.000000,0.680000,0.540000,0.440000,-0.800000,-1.000000,0.000000
1,0.721028,1.437183,0.408714,-0.056000,0.000000,0.000000,0.680000,0.540000,0.440000,-0.800000,-1.000000,-0.056000
2,0.720514,1.436960,0.408714,-0.112000,0.000000,0.000000,0.680000,0.540000,0.440000,-0.800000,-1.000000,-0.112000
3,0.719486,1.436515,0.408714,-0.168001,0.000000,0.000000,0.680000,0.540000,0.440000,-0.800000,-1.000000,-0.168001
4,0.717945,1.435847,0.408714,-0.224004,0.000000,0.000000,0.680000,0.540000,0.440000,-0.800000,-1.000000,-0.224004
5,0.715889,1.434957,0.408714,-0.280008,0.000000,0.000000,0.680000,0.540000,0.440000,-0.800000,-1.000000,-0.280008
6,0.713320,1.433844,0.408714,-0.336015,0.000000,0.000000,0.680000,0.540000,0.440000,-0.800000,-1.000000,-0.336015
7,0.710237,1.432509,0.408714,-0.392024,0.000000,0.000000,0.680000,0.540000,0.440000,-0.800000,-1.000000,-0.392024
8,0.706639,1.430951,0.408714,-0.448037,0.000000,0.000000,0.680000,0.560000,0.440000,-0.800000,-1.000000,-0.448037
9,0.702528,1.429170,0.408714,-0.504055,0.000000,0.000000,0.680000,0.560000,0.440000,-0.800000,-1.000000,-0.504055
