step,position,velocity,action,reward
0,-0.424751,0.000000,0,-1.015042
1,-0.426482,-0.001731,0,-1.029205
2,-0.429931,-0.003449,0,-1.041634
3,-0.435073,-0.005142,0,-1.051518
4,-0.441871,-0.006798,0,-1.058115
5,-0.450276,-0.008405,0,-1.060778
6,-0.460226,-0.009950,0,-1.058981
7,-0.471649,-0.011423,0,-1.052345
8,-0.484460,-0.012811,0,-1.040663
9,-0.498564,-0.014104,0,-1.023919
10,-0.513855,-0.015291,0,-1.002299
11,-0.530220,-0.016364,0,-0.976202
12,-0.547534,-0.017315,0,-0.946227
13,-0.565670,-0.018135,0,-0.913155
14,-0.584491,-0.018821,0,-0.877922
15,-0.603857,-0.019367,0,-0.841575
16,-0.623628,-0.019770,0,-0.805222
17,-0.643659,-0.020031,0,-0.769980
18,-0.663810,-0.020150,0,-0.736922
19,-0.683939,-0.020129,0,-0.707024
20,-0.703912,-0.019973,0,-0.681127
21,-0.723597,-0.019685,0,-0.659906
22,-0.742871,-0.019274,0,-0.643849
23,-0.761616,-0.018745,0,-0.633256
24,-0.779725,-0.018108,0,-0.628240
25,-0.797095,-0.017371,0,-0.628751
26,-0.813637,-0.016542,0,-0.634593
27,-0.829268,-0.015631,0,-0.645456
28,-0.843915,-0.014647,0,-0.660946
29,-0.857512,-0.013597,0,-0.680611
30,-0.870003,-0.012491,0,-0.703971
31,-0.881339,-0.011336,0,-0.730539
32,-0.891478,-0.010139,0,-0.759838
33,-0.900386,-0.008907,0,-0.791415
34,-0.908031,-0.007646,0,-0.824848
35,-0.914392,-0.006360,0,-0.859751
36,-0.919448,-0.005056,0,-0.895772
37,-0.923186,-0.003738,0,-0.932589
38,-0.925594,-0.002409,0,-0.969905
39,-0.926668,-0.001073,0,-1.007439
40,-0.926402,0.000265,0,-1.044919
41,-0.924800,0.001603,0,-1.082072
42,-0.921864,0.002936,0,-1.118610
43,-0.917602,0.004261,0,-1.154228
44,-0.912027,0.005575,0,-1.188593
45,-0.905155,0.006872,0,-1.221339
46,-0.897006,0.008149,0,-1.252066
47,-0.887607,0.009399,0,-1.280339
48,-0.876989,0.010618,0,-1.305694
49,-0.865190,0.011799,0,-1.327648
50,-0.852255,0.012936,0,-1.345716
51,-0.838235,0.014020,0,-1.359424
52,-0.823190,0.015045,0,-1.368342
53,-0.807189,0.016001,0,-1.372103
54,-0.790308,0.016881,0,-1.370440
55,-0.772634,0.017674,0,-1.363212
56,-0.754261,0.018373,0,-1.350431
57,-0.735293,0.018968,0,-1.332282
58,-0.715841,0.019451,0,-1.309140
