step,position,velocity,action,reward
0,-0.408874,0.000000,0,-1.018517
1,-0.410717,-0.001844,0,-1.036043
2,-0.414391,-0.003674,0,-1.051608
3,-0.419870,-0.005479,0,-1.064288
4,-0.427114,-0.007244,0,-1.073233
5,-0.436072,-0.008958,0,-1.077693
6,-0.446678,-0.010607,0,-1.077048
7,-0.458857,-0.012178,0,-1.070839
8,-0.472517,-0.013661,0,-1.058800
9,-0.487560,-0.015042,0,-1.040883
10,-0.503872,-0.016312,0,-1.017275
11,-0.521332,-0.017460,0,-0.988408
12,-0.539809,-0.018477,0,-0.954954
13,-0.559165,-0.019356,0,-0.917804
14,-0.579254,-0.020089,0,-0.878032
15,-0.599928,-0.020674,0,-0.836850
16,-0.621034,-0.021106,0,-0.795547
17,-0.642420,-0.021386,0,-0.755422
18,-0.663934,-0.021514,0,-0.717721
19,-0.685426,-0.021492,0,-0.683577
20,-0.706751,-0.021325,0,-0.653958
21,-0.727771,-0.021020,0,-0.629631
22,-0.748353,-0.020582,0,-0.611141
23,-0.768375,-0.020022,0,-0.598807
24,-0.787721,-0.019346,0,-0.592730
25,-0.806287,-0.018566,0,-0.592817
26,-0.823979,-0.017691,0,-0.598812
27,-0.840710,-0.016731,0,-0.610326
28,-0.856406,-0.015696,0,-0.626883
29,-0.871000,-0.014594,0,-0.647947
30,-0.884435,-0.013435,0,-0.672958
31,-0.896663,-0.012228,0,-0.701358
32,-0.907641,-0.010978,0,-0.732613
33,-0.917335,-0.009694,0,-0.766222
34,-0.925717,-0.008381,0,-0.801731
35,-0.932762,-0.007046,0,-0.838734
36,-0.938454,-0.005692,0,-0.876873
37,-0.942777,-0.004323,0,-0.915829
38,-0.945722,-0.002945,0,-0.955319
39,-0.947282,-0.001560,0,-0.995084
40,-0.947454,-0.000171,0,-1.034880
41,-0.946236,0.001217,0,-1.074461
42,-0.943633,0.002604,0,-1.113574
43,-0.939649,0.003984,0,-1.151943
44,-0.934294,0.005355,0,-1.189258
45,-0.927581,0.006713,0,-1.225172
46,-0.919527,0.008054,0,-1.259291
47,-0.910155,0.009372,0,-1.291171
48,-0.899491,0.010664,0,-1.320325
49,-0.887568,0.011923,0,-1.346224
50,-0.874427,0.013141,0,-1.368315
51,-0.860113,0.014313,0,-1.386035
52,-0.844684,0.015430,0,-1.398842
53,-0.828202,0.016482,0,-1.406239
54,-0.810740,0.017462,0,-1.407814
55,-0.792381,0.018359,0,-1.403275
56,-0.773218,0.019163,0,-1.392484
57,-0.753353,0.019865,0,-1.375493
58,-0.732898,0.020455,0,-1.352565
59,-0.711974,0.020924,0,-1.324189
60,-0.690711,0.021262,0,-1.291079
61,-0.669247,0.021464,0,-1.254157
62,-0.647725,0.021522,0,-1.214518
63,-0.626294,0.021432,0,-1.173386
64,-0.605104,0.021190,0,-1.132053
65,-0.584310,0.020795,0,-1.091816
66,-0.564062,0.020248,0,-1.053912
67,-0.544512,0.019550,0,-1.019455
68,-0.525804,0.018707,0,-0.989384
69,-0.508081,0.017724,0,-0.964429
70,-0.491473,0.016607,0,-0.945080
71,-0.476107,0.015367,0,-0.931586
72,-0.462095,0.014012,0,-0.923954
73,-0.449542,0.012553,0,-0.921971
74,-0.438540,0.011002,0,-0.925222
75,-0.429168,0.009371,0,-0.933126
76,-0.421496,0.007672,0,-0.944960
77,-0.415578,0.005919,0,-0.959895
78,-0.411455,0.004122,0,-0.977026
79,-0.409158,0.002297,0,-0.995390
80,-0.408702,0.000456,0,-1.014000
81,-0.410091,-0.001389,0,-1.031862
82,-0.413315,-0.003224,0,-1.047998
83,-0.418352,-0.005036,0,-1.061473
84,-0.425164,-0.006812,0,-1.071415
85,-0.433704,-0.008540,0,-1.077045
86,-0.443910,-0.010206,0,-1.077709
87,-0.455708,-0.011798,0,-1.072907
88,-0.469012,-0.013304,0,-1.062321
89,-0.483724,-0.014711,0,-1.045847
90,-0.499733,-0.016010,0,-1.023613
91,-0.516922,-0.017189,0,-0.995991
92,-0.535161,-0.018239,0,-0.963595
93,-0.554312,-0.019152,0,-0.927263
94,-0.574234,-0.019922,0,-0.888030
95,-0.594778,-0.020544,0,-0.847079
96,-0.615792,-0.021014,0,-0.805684
97,-0.637123,-0.021331,0,-0.765149
98,-0.658619,-0.021496,0,-0.726739
99,-0.680130,-0.021511,0,-0.691620
100,-0.701509,-0.021380,0,-0.660804
101,-0.722617,-0.021108,0,-0.635111
102,-0.743319,-0.020702,0,-0.615142
103,-0.763490,-0.020171,0,-0.601270
104,-0.783013,-0.019523,0,-0.593650
105,-0.801782,-0.018768,0,-0.592234
106,-0.819697,-0.017916,0,-0.596802
107,-0.836673,-0.016976,0,-0.606995
108,-0.852631,-0.015958,0,-0.622355
109,-0.867503,-0.014872,0,-0.642358
110,-0.881229,-0.013726,0,-0.666447
111,-0.893759,-0.012530,0,-0.694061
112,-0.905049,-0.011290,0,-0.724659
113,-0.915063,-0.010014,0,-0.757731
114,-0.923771,-0.008708,0,-0.792811
115,-0.931148,-0.007377,0,-0.829480
116,-0.937175,-0.006027,0,-0.867370
117,-0.941838,-0.004662,0,-0.906151
118,-0.945124,-0.003286,0,-0.945534
119,-0.947026,-0.001902,0,-0.985255
120,-0.947541,-0.000514,0,-1.025066
