step,position,velocity,action,reward
0,-0.539774,0.000000,2,-1.001575
1,-0.538653,0.001121,2,-1.002802
2,-0.536419,0.002234,2,-1.003343
3,-0.533089,0.003330,2,-1.002887
4,-0.528687,0.004401,2,-1.001160
5,-0.523248,0.005440,2,-0.997932
6,-0.516811,0.006437,2,-0.993034
7,-0.509425,0.007386,2,-0.986360
8,-0.501145,0.008280,2,-0.977876
9,-0.492033,0.009111,2,-0.967624
10,-0.482158,0.009875,2,-0.955720
11,-0.471593,0.010565,2,-0.942357
12,-0.460416,0.011177,2,-0.927794
13,-0.448711,0.011706,2,-0.912350
14,-0.436562,0.012149,2,-0.896394
15,-0.424059,0.012503,2,-0.880328
16,-0.411291,0.012768,2,-0.864574
17,-0.398350,0.012941,2,-0.849557
18,-0.385326,0.013024,2,-0.835687
19,-0.372310,0.013016,2,-0.823348
20,-0.359389,0.012920,2,-0.812883
21,-0.346651,0.012738,2,-0.804583
22,-0.334179,0.012472,2,-0.798679
23,-0.322052,0.012127,2,-0.795341
24,-0.310347,0.011706,2,-0.794672
25,-0.299134,0.011213,2,-0.796712
26,-0.288480,0.010654,2,-0.801442
27,-0.278446,0.010033,2,-0.808789
28,-0.269090,0.009356,2,-0.818635
29,-0.260463,0.008627,2,-0.830820
30,-0.252611,0.007852,2,-0.845153
31,-0.245574,0.007037,2,-0.861421
32,-0.239389,0.006185,2,-0.879389
33,-0.234087,0.005302,2,-0.898814
34,-0.229693,0.004394,2,-0.919441
35,-0.226228,0.003464,2,-0.941013
36,-0.223710,0.002518,2,-0.963269
37,-0.222150,0.001561,2,-0.985948
38,-0.221554,0.000596,2,-1.008788
39,-0.221926,-0.000372,2,-1.031527
40,-0.223265,-0.001338,2,-1.053904
41,-0.225563,-0.002298,2,-1.075657
42,-0.228810,-0.003247,2,-1.096525
43,-0.232992,-0.004181,2,-1.116249
44,-0.238087,-0.005095,2,-1.134576
45,-0.244070,-0.005984,2,-1.151257
46,-0.250914,-0.006843,2,-1.166057
47,-0.258581,-0.007668,2,-1.178755
48,-0.267034,-0.008452,2,-1.189156
49,-0.276226,-0.009192,2,-1.197092
50,-0.286108,-0.009882,2,-1.202434
51,-0.296624,-0.010516,2,-1.205098
52,-0.307714,-0.011090,2,-1.205052
53,-0.319312,-0.011598,2,-1.202323
54,-0.331348,-0.012036,2,-1.196999
55,-0.343748,-0.012399,2,-1.189234
56,-0.356431,-0.012684,2,-1.179244
57,-0.369317,-0.012886,2,-1.167309
58,-0.382319,-0.013002,2,-1.153760
59,-0.395349,-0.013030,2,-1.138971
60,-0.408318,-0.012968,2,-1.123349
61,-0.421133,-0.012816,2,-1.107318
62,-0.433706,-0.012572,2,-1.091300
63,-0.445944,-0.012238,2,-1.075704
64,-0.457760,-0.011816,2,-1.060907
65,-0.469066,-0.011306,2,-1.047242
66,-0.479779,-0.010713,2,-1.034982
67,-0.489820,-0.010041,2,-1.024335
68,-0.499114,-0.009294,2,-1.015437
69,-0.507592,-0.008477,2,-1.008346
70,-0.515189,-0.007597,2,-1.003045
71,-0.521849,-0.006660,2,-0.999445
72,-0.527523,-0.005674,2,-0.997389
73,-0.532167,-0.004644,2,-0.996663
74,-0.535747,-0.003580,2,-0.997001
75,-0.538236,-0.002489,2,-0.998098
76,-0.539615,-0.001379,2,-0.999624
77,-0.539874,-0.000259,2,-1.001230
78,-0.539011,0.000863,2,-1.002567
79,-0.537032,0.001979,2,-1.003296
80,-0.533953,0.003079,2,-1.003096
81,-0.529796,0.004157,2,-1.001684
82,-0.524593,0.005203,2,-0.998820
83,-0.518382,0.006211,2,-0.994319
