step,position,velocity,action,reward
0,-0.410081,0.000000,0,-1.018245
1,-0.411916,-0.001835,0,-1.035506
2,-0.415573,-0.003657,0,-1.050823
3,-0.421026,-0.005453,0,-1.063283
4,-0.428236,-0.007210,0,-1.072041
5,-0.437152,-0.008916,0,-1.076357
6,-0.447709,-0.010557,0,-1.075617
7,-0.459830,-0.012121,0,-1.069370
8,-0.473427,-0.013597,0,-1.057355
9,-0.488399,-0.014971,0,-1.039524
10,-0.504633,-0.016235,0,-1.016068
11,-0.522011,-0.017377,0,-0.987414
12,-0.540400,-0.018389,0,-0.954229
13,-0.559663,-0.019263,0,-0.917395
14,-0.579656,-0.019993,0,-0.877977
15,-0.600231,-0.020575,0,-0.837174
16,-0.621236,-0.021005,0,-0.796258
17,-0.642519,-0.021283,0,-0.756515
18,-0.663929,-0.021410,0,-0.719178
19,-0.685317,-0.021388,0,-0.685367
20,-0.706540,-0.021223,0,-0.656039
21,-0.727458,-0.020918,0,-0.631955
22,-0.747941,-0.020483,0,-0.613655
23,-0.767865,-0.019925,0,-0.601457
24,-0.787118,-0.019252,0,-0.595463
25,-0.805593,-0.018475,0,-0.595584
26,-0.823197,-0.017604,0,-0.601567
27,-0.839844,-0.016647,0,-0.613032
28,-0.855459,-0.015616,0,-0.629508
29,-0.869977,-0.014518,0,-0.650466
30,-0.883340,-0.013363,0,-0.675353
31,-0.895499,-0.012159,0,-0.703617
32,-0.906413,-0.010913,0,-0.734726
33,-0.916046,-0.009633,0,-0.768185
34,-0.924370,-0.008324,0,-0.803543
35,-0.931362,-0.006992,0,-0.840394
36,-0.937003,-0.005641,0,-0.878380
37,-0.941280,-0.004277,0,-0.917183
38,-0.944182,-0.002902,0,-0.956518
39,-0.945702,-0.001520,0,-0.996126
40,-0.945838,-0.000135,0,-1.035757
41,-0.944588,0.001250,0,-1.075165
42,-0.941955,0.002632,0,-1.114094
43,-0.937947,0.004009,0,-1.152263
44,-0.932571,0.005376,0,-1.189363
45,-0.925841,0.006729,0,-1.225043
46,-0.917776,0.008066,0,-1.258907
47,-0.908396,0.009379,0,-1.290513
48,-0.897731,0.010666,0,-1.319373
49,-0.885812,0.011919,0,-1.344963
50,-0.872681,0.013131,0,-1.366732
51,-0.858384,0.014296,0,-1.384126
52,-0.842978,0.015406,0,-1.396610
53,-0.826527,0.016451,0,-1.403698
54,-0.809103,0.017423,0,-1.404988
55,-0.790791,0.018312,0,-1.400201
56,-0.771683,0.019108,0,-1.389214
57,-0.751881,0.019802,0,-1.372088
58,-0.731498,0.020383,0,-1.349098
59,-0.710655,0.020843,0,-1.320742
60,-0.689481,0.021174,0,-1.287738
61,-0.668114,0.021367,0,-1.251006
62,-0.646696,0.021417,0,-1.211639
63,-0.625377,0.021320,0,-1.170852
64,-0.604305,0.021071,0,-1.129925
65,-0.583635,0.020671,0,-1.090139
66,-0.563516,0.020119,0,-1.052712
67,-0.544099,0.019417,0,-1.018738
68,-0.525528,0.018571,0,-0.989139
