step,position,velocity,action,reward
0,-0.460651,0.000000,0,-1.008179
1,-0.462120,-0.001469,0,-1.015728
2,-0.465048,-0.002928,0,-1.022037
3,-0.469413,-0.004365,0,-1.026532
4,-0.475182,-0.005769,0,-1.028698
5,-0.482313,-0.007131,0,-1.028096
6,-0.490753,-0.008440,0,-1.024381
7,-0.500439,-0.009686,0,-1.017319
8,-0.511299,-0.010859,0,-1.006802
9,-0.523250,-0.011952,0,-0.992855
10,-0.536205,-0.012954,0,-0.975647
11,-0.550064,-0.013860,0,-0.955484
12,-0.564726,-0.014662,0,-0.932807
13,-0.580080,-0.015354,0,-0.908173
14,-0.596012,-0.015932,0,-0.882235
15,-0.612405,-0.016393,0,-0.855719
16,-0.629141,-0.016735,0,-0.829384
17,-0.646097,-0.016957,0,-0.803998
18,-0.663156,-0.017059,0,-0.780298
19,-0.680198,-0.017042,0,-0.758962
20,-0.697109,-0.016910,0,-0.740584
21,-0.713776,-0.016667,0,-0.725651
22,-0.730093,-0.016317,0,-0.714534
23,-0.745958,-0.015865,0,-0.707479
24,-0.761277,-0.015319,0,-0.704611
25,-0.775960,-0.014683,0,-0.705941
26,-0.789926,-0.013966,0,-0.711379
27,-0.803101,-0.013175,0,-0.720747
28,-0.815417,-0.012316,0,-0.733800
29,-0.826813,-0.011396,0,-0.750243
30,-0.837236,-0.010423,0,-0.769742
31,-0.846638,-0.009403,0,-0.791949
32,-0.854980,-0.008342,0,-0.816502
33,-0.862226,-0.007246,0,-0.843045
34,-0.868347,-0.006121,0,-0.871229
35,-0.873319,-0.004972,0,-0.900714
36,-0.877124,-0.003805,0,-0.931177
37,-0.879747,-0.002623,0,-0.962301
38,-0.881179,-0.001432,0,-0.993785
39,-0.881415,-0.000236,0,-1.025326
40,-0.880453,0.000961,0,-1.056628
41,-0.878298,0.002155,0,-1.087388
42,-0.874957,0.003341,0,-1.117297
43,-0.870443,0.004515,0,-1.146033
44,-0.864772,0.005671,0,-1.173263
45,-0.857966,0.006806,0,-1.198642
46,-0.850052,0.007914,0,-1.221816
47,-0.841063,0.008989,0,-1.242424
48,-0.831036,0.010026,0,-1.260111
49,-0.820017,0.011019,0,-1.274537
50,-0.808057,0.011960,0,-1.285389
51,-0.795213,0.012844,0,-1.292400
52,-0.781550,0.013663,0,-1.295363
53,-0.767140,0.014410,0,-1.294153
54,-0.752061,0.015079,0,-1.288739
55,-0.736400,0.015661,0,-1.279199
56,-0.720249,0.016151,0,-1.265731
57,-0.703707,0.016542,0,-1.248658
58,-0.686880,0.016828,0,-1.228421
59,-0.669876,0.017004,0,-1.205576
60,-0.652810,0.017066,0,-1.180768
61,-0.635799,0.017011,0,-1.154717
62,-0.618962,0.016837,0,-1.128180
63,-0.602419,0.016542,0,-1.101925
64,-0.586291,0.016128,0,-1.076695
65,-0.570696,0.015595,0,-1.053174
66,-0.555748,0.014947,0,-1.031962
67,-0.541560,0.014188,0,-1.013546
68,-0.528237,0.013323,0,-0.998287
69,-0.515880,0.012358,0,-0.986408
70,-0.504580,0.011300,0,-0.977991
71,-0.494423,0.010157,0,-0.972980
72,-0.485484,0.008939,0,-0.971187
73,-0.477831,0.007653,0,-0.972311
74,-0.471519,0.006311,0,-0.975946
75,-0.466597,0.004922,0,-0.981606
76,-0.463100,0.003497,0,-0.988738
77,-0.461055,0.002046,0,-0.996744
78,-0.460476,0.000579,0,-1.004999
79,-0.461367,-0.000891,0,-1.012870
80,-0.463722,-0.002355,0,-1.019738
81,-0.467524,-0.003802,0,-1.025013
82,-0.472745,-0.005221,0,-1.028153
83,-0.479346,-0.006601,0,-1.028688
84,-0.487277,-0.007931,0,-1.026233
85,-0.496481,-0.009203,0,-1.020510
86,-0.506887,-0.010407,0,-1.011358
87,-0.518419,-0.011532,0,-0.998749
88,-0.530990,-0.012571,0,-0.982797
89,-0.544505,-0.013515,0,-0.963752
90,-0.558863,-0.014359,0,-0.942004
91,-0.573958,-0.015095,0,-0.918067
92,-0.589676,-0.015718,0,-0.892560
93,-0.605902,-0.016226,0,-0.866182
94,-0.622517,-0.016615,0,-0.839684
95,-0.639401,-0.016884,0,-0.813834
96,-0.656434,-0.017033,0,-0.789385
97,-0.673496,-0.017063,0,-0.767042
98,-0.690472,-0.016976,0,-0.747435
99,-0.707248,-0.016776,0,-0.731094
100,-0.723715,-0.016467,0,-0.718438
101,-0.739770,-0.016055,0,-0.709762
102,-0.755315,-0.015545,0,-0.705238
103,-0.770259,-0.014944,0,-0.704920
104,-0.784517,-0.014258,0,-0.708757
105,-0.798012,-0.013495,0,-0.716603
106,-0.810673,-0.012662,0,-0.728238
107,-0.822438,-0.011765,0,-0.743384
