step,position,velocity,action,reward
0,-0.414900,0.000000,0,-1.017169
1,-0.416701,-0.001801,0,-1.033389
2,-0.420290,-0.003589,0,-1.047734
3,-0.425642,-0.005351,0,-1.059324
4,-0.432717,-0.007076,0,-1.067351
5,-0.441466,-0.008749,0,-1.071103
6,-0.451824,-0.010359,0,-1.069998
7,-0.463717,-0.011893,0,-1.063608
8,-0.477056,-0.013339,0,-1.051692
9,-0.491744,-0.014687,0,-1.034213
10,-0.507670,-0.015926,0,-1.011360
11,-0.524715,-0.017045,0,-0.983553
12,-0.542752,-0.018037,0,-0.951435
13,-0.561645,-0.018893,0,-0.915856
14,-0.581254,-0.019609,0,-0.877837
15,-0.601432,-0.020178,0,-0.838524
16,-0.622032,-0.020600,0,-0.799137
17,-0.642904,-0.020872,0,-0.760903
18,-0.663901,-0.020997,0,-0.725001
19,-0.684876,-0.020975,0,-0.692502
20,-0.705688,-0.020812,0,-0.664325
21,-0.726202,-0.020513,0,-0.641200
22,-0.746287,-0.020086,0,-0.623651
23,-0.765824,-0.019537,0,-0.611990
24,-0.784700,-0.018876,0,-0.606323
25,-0.802812,-0.018112,0,-0.606575
26,-0.820067,-0.017254,0,-0.612513
27,-0.836379,-0.016313,0,-0.623781
28,-0.851675,-0.015296,0,-0.639934
29,-0.865889,-0.014214,0,-0.660468
30,-0.878964,-0.013075,0,-0.684857
31,-0.890851,-0.011887,0,-0.712570
32,-0.901507,-0.010657,0,-0.743094
33,-0.910899,-0.009392,0,-0.775947
34,-0.918996,-0.008098,0,-0.810689
35,-0.925776,-0.006780,0,-0.846920
36,-0.931221,-0.005444,0,-0.884283
37,-0.935315,-0.004094,0,-0.922459
38,-0.938048,-0.002734,0,-0.961159
39,-0.939415,-0.001366,0,-1.000114
40,-0.939411,0.000004,0,-1.039069
41,-0.938036,0.001374,0,-1.077767
42,-0.935295,0.002742,0,-1.115939
43,-0.931193,0.004102,0,-1.153296
44,-0.925741,0.005452,0,-1.189520
45,-0.918953,0.006788,0,-1.224251
46,-0.910847,0.008105,0,-1.257092
47,-0.901448,0.009399,0,-1.287601
48,-0.890784,0.010664,0,-1.315296
49,-0.878891,0.011894,0,-1.339664
50,-0.865809,0.013082,0,-1.360175
