step,position,velocity,action,reward
0,-0.527160,0.000000,0,-0.999645
1,-0.528133,-0.000973,0,-0.999039
2,-0.530073,-0.001939,0,-0.997940
3,-0.532963,-0.002891,0,-0.996124
4,-0.536784,-0.003821,0,-0.993396
5,-0.541505,-0.004722,0,-0.989597
6,-0.547093,-0.005587,0,-0.984610
7,-0.553504,-0.006411,0,-0.978368
8,-0.560692,-0.007187,0,-0.970854
9,-0.568601,-0.007910,0,-0.962108
10,-0.577175,-0.008573,0,-0.952227
11,-0.586348,-0.009173,0,-0.941358
12,-0.596053,-0.009705,0,-0.929698
13,-0.606219,-0.010166,0,-0.917487
14,-0.616772,-0.010553,0,-0.905000
15,-0.627635,-0.010863,0,-0.892536
16,-0.638731,-0.011095,0,-0.880407
17,-0.649980,-0.011249,0,-0.868929
18,-0.661303,-0.011324,0,-0.858408
19,-0.672623,-0.011320,0,-0.849131
20,-0.683863,-0.011239,0,-0.841357
21,-0.694946,-0.011083,0,-0.835309
22,-0.705799,-0.010854,0,-0.831166
23,-0.716354,-0.010554,0,-0.829063
24,-0.726542,-0.010188,0,-0.829087
25,-0.736300,-0.009758,0,-0.831279
26,-0.745569,-0.009269,0,-0.835632
27,-0.754293,-0.008725,0,-0.842099
28,-0.762422,-0.008129,0,-0.850596
29,-0.769910,-0.007487,0,-0.861004
30,-0.776713,-0.006804,2,-0.915142
31,-0.780796,-0.004082,2,-0.971927
32,-0.782135,-0.001339,2,-1.029576
33,-0.780724,0.001411,2,-1.086314
34,-0.776570,0.004154,2,-1.140359
35,-0.769696,0.006874,2,-1.189893
36,-0.760139,0.009557,2,-1.233064
37,-0.747953,0.012186,2,-1.268000
38,-0.733209,0.014744,2,-1.292852
39,-0.715995,0.017215,2,-1.305871
40,-0.696416,0.019579,2,-1.305512
41,-0.674598,0.021818,2,-1.290565
42,-0.650686,0.023912,2,-1.260300
43,-0.624844,0.025842,2,-1.214603
44,-0.597254,0.027590,2,-1.154090
45,-0.568117,0.029138,2,-1.080172
46,-0.537646,0.030471,2,-0.995056
47,-0.506070,0.031576,2,-0.901655
48,-0.473626,0.032444,2,-0.803436
49,-0.440555,0.033071,2,-0.704186
50,-0.407100,0.033455,2,-0.607747
51,-0.373501,0.033599,2,-0.517736
52,-0.339991,0.033511,2,-0.437298
53,-0.306789,0.033202,2,-0.368905
54,-0.274100,0.032688,2,-0.314244
55,-0.242114,0.031987,2,-0.274173
56,-0.210996,0.031118,2,-0.248773
57,-0.180893,0.030102,2,-0.237442
58,-0.151932,0.028961,2,-0.239040
59,-0.124215,0.027717,2,-0.252053
60,-0.097827,0.026388,2,-0.274752
61,-0.072832,0.024995,2,-0.305328
62,-0.049277,0.023555,2,-0.342019
63,-0.027196,0.022082,0,-0.443172
64,-0.008605,0.018590,0,-0.547312
65,0.006485,0.015091,0,-0.652510
66,0.018077,0.011591,0,-0.757687
67,0.026172,0.008095,0,-0.862420
68,0.030775,0.004603,0,-0.966743
69,0.031888,0.001113,0,-1.070951
70,0.029513,-0.002375,0,-1.175398
71,0.023648,-0.005865,0,-1.280307
72,0.014289,-0.009359,0,-1.385570
73,0.001432,-0.012857,0,-1.490551
74,-0.014924,-0.016357,0,-1.593883
75,-0.034779,-0.019854,0,-1.693289
76,-0.058119,-0.023341,0,-1.785431
77,-0.084922,-0.026803,0,-1.865842
78,-0.115144,-0.030222,0,-1.928969
79,-0.148718,-0.033574,0,-1.968396
80,-0.185548,-0.036830,0,-1.977283
81,-0.225500,-0.039952,0,-1.949049
82,-0.268402,-0.042902,0,-1.878263
83,-0.314036,-0.045634,0,-1.761664
84,-0.362140,-0.048104,0,-1.599136
85,-0.412408,-0.050268,0,-1.394426
86,-0.464495,-0.052087,0,-1.155385
87,-0.518023,-0.053528,0,-0.893575
88,-0.572593,-0.054570,0,-0.623219
89,-0.627796,-0.055204,0,-0.359643
90,-0.683231,-0.055435,0,-0.117492
91,-0.738514,-0.055283,0,0.090927
92,-0.793294,-0.054780,0,0.256852
93,-0.847265,-0.053971,0,0.375635
94,-0.900173,-0.052907,0,0.446656
95,-0.951819,-0.051647,0,0.472700
96,-1.002068,-0.050248,0,0.459004
97,-1.050839,-0.048771,0,0.412213
98,-1.098111,-0.047271,0,0.339411
99,-1.143911,-0.045801,0,0.247352
100,-1.188316,-0.044405,0,-0.683016
101,-1.200000,0.000000,2,-1.087424
102,-1.196758,0.003242,2,-1.176361
103,-1.190264,0.006494,2,-1.268201
104,-1.180496,0.009768,2,-1.364076
105,-1.167426,0.013070,2,-1.464701
106,-1.151016,0.016410,2,-1.570183
107,-1.131227,0.019789,2,-1.679801
108,-1.108016,0.023210,2,-1.791749
109,-1.081348,0.026669,2,-1.902882
110,-1.051192,0.030156,2,-2.008489
111,-1.017536,0.033656,2,-2.102152
112,-0.980391,0.037146,2,-2.175795
113,-0.939795,0.040596,2,-2.219999
114,-0.895828,0.043967,2,-2.224677
115,-0.848615,0.047214,2,-2.180165
116,-0.798332,0.050283,2,-2.078671
117,-0.745214,0.053118,2,-1.915921
118,-0.689554,0.055660,2,-1.692690
119,-0.631700,0.057854,2,-1.415820
120,-0.572049,0.059651,2,-1.098346
121,-0.511036,0.061013,2,-0.758502
122,-0.449117,0.061919,2,-0.417662
123,-0.386753,0.062365,2,-0.097604
124,-0.324386,0.062367,2,0.182324
125,-0.262426,0.061960,2,0.407501
126,-0.201230,0.061196,2,0.569335
127,-0.141092,0.060138,2,0.665430
128,-0.082234,0.058858,2,0.698755
129,-0.024800,0.057434,2,0.676181
130,0.031141,0.055941,2,0.606786
131,0.085592,0.054452,2,0.500288
132,0.138626,0.053034,2,0.365800
133,0.190373,0.051747,2,0.211006
134,0.241016,0.050644,2,0.041723
135,0.290786,0.049769,0,-0.169779
136,0.337947,0.047162,0,-0.367753
137,0.382787,0.044840,0,-0.549980
138,0.425602,0.042815,0,-0.716323
139,0.466693,0.041091,0,-0.868002
