step,position,velocity,action,reward
0,-0.467644,0.000000,0,-1.007017
1,-0.469061,-0.001418,0,-1.013449
2,-0.471886,-0.002825,0,-1.018732
3,-0.476097,-0.004211,0,-1.022335
4,-0.481664,-0.005566,0,-1.023783
5,-0.488544,-0.006880,0,-1.022672
6,-0.496686,-0.008142,0,-1.018689
7,-0.506030,-0.009344,0,-1.011623
8,-0.516506,-0.010476,0,-1.001379
9,-0.528035,-0.011529,0,-0.987988
10,-0.540530,-0.012496,0,-0.971612
11,-0.553899,-0.013369,0,-0.952539
12,-0.568041,-0.014142,0,-0.931180
13,-0.582850,-0.014809,0,-0.908054
14,-0.598217,-0.015367,0,-0.883765
15,-0.614030,-0.015812,0,-0.858981
16,-0.630172,-0.016142,0,-0.834407
17,-0.646529,-0.016357,0,-0.810749
18,-0.662984,-0.016455,0,-0.788688
19,-0.679425,-0.016440,0,-0.768853
20,-0.695738,-0.016314,0,-0.751793
21,-0.711818,-0.016079,0,-0.737966
22,-0.727559,-0.015741,0,-0.727718
23,-0.742865,-0.015305,0,-0.721285
24,-0.757642,-0.014777,0,-0.718792
25,-0.771804,-0.014162,0,-0.720256
26,-0.785272,-0.013468,0,-0.725602
27,-0.797973,-0.012701,0,-0.734674
28,-0.809841,-0.011868,0,-0.747249
29,-0.820817,-0.010975,0,-0.763056
30,-0.830847,-0.010030,0,-0.781789
31,-0.839885,-0.009038,0,-0.803118
32,-0.847892,-0.008007,0,-0.826706
33,-0.854832,-0.006940,0,-0.852212
34,-0.860677,-0.005845,0,-0.879302
35,-0.865404,-0.004726,0,-0.907648
36,-0.868993,-0.003589,0,-0.936931
37,-0.871431,-0.002438,0,-0.966843
38,-0.872708,-0.001278,0,-0.997082
39,-0.872820,-0.000112,0,-1.027349
40,-0.871767,0.001053,0,-1.057347
41,-0.869552,0.002215,0,-1.086775
42,-0.866184,0.003368,0,-1.115326
43,-0.861675,0.004509,0,-1.142683
44,-0.856044,0.005631,0,-1.168520
45,-0.849312,0.006731,0,-1.192504
46,-0.841509,0.007804,2,-1.262183
47,-0.830666,0.010843,2,-1.325177
48,-0.816833,0.013833,2,-1.379210
49,-0.800073,0.016760,2,-1.421830
50,-0.780469,0.019604,2,-1.450486
51,-0.758124,0.022345,2,-1.462658
52,-0.733161,0.024962,2,-1.456061
53,-0.705729,0.027433,2,-1.428884
54,-0.675997,0.029732,2,-1.380062
55,-0.644162,0.031835,2,-1.309533
56,-0.610442,0.033720,2,-1.218444
57,-0.575078,0.035364,2,-1.109255
58,-0.538329,0.036748,2,-0.985702
59,-0.500471,0.037859,2,-0.852611
60,-0.461785,0.038686,2,-0.715562
61,-0.422560,0.039225,2,-0.580444
62,-0.383082,0.039478,2,-0.452958
63,-0.343626,0.039455,2,-0.338153
64,-0.304456,0.039170,2,-0.240040
65,-0.265814,0.038643,2,-0.161354
66,-0.227917,0.037896,2,-0.103462
67,-0.190959,0.036958,2,-0.066434
68,-0.155102,0.035857,2,-0.049220
69,-0.120479,0.034623,2,-0.049912
70,-0.087194,0.033285,2,-0.066028
71,-0.055324,0.031870,2,-0.094791
72,-0.024920,0.030404,2,-0.133367
73,0.003991,0.028911,2,-0.179053
74,0.031402,0.027411,2,-0.229402
75,0.057324,0.025922,2,-0.282302
76,0.081784,0.024459,2,-0.336003
77,0.104818,0.023034,2,-0.389118
78,0.126474,0.021657,2,-0.440594
79,0.146809,0.020334,2,-0.489673
80,0.165882,0.019073,2,-0.535848
81,0.183758,0.017876,2,-0.578817
82,0.200505,0.016747,2,-0.618438
83,0.216190,0.015685,2,-0.654693
84,0.230883,0.014693,2,-0.687653
85,0.244652,0.013769,2,-0.717452
86,0.257565,0.012913,2,-0.744265
87,0.269688,0.012123,2,-0.768291
88,0.281085,0.011397,2,-0.789740
89,0.291820,0.010735,2,-0.808826
90,0.301953,0.010133,2,-0.825757
91,0.311544,0.009591,2,-0.840733
92,0.320649,0.009105,2,-0.853943
93,0.329325,0.008675,2,-0.865564
94,0.337624,0.008300,2,-0.875760
95,0.345600,0.007976,2,-0.884681
96,0.353304,0.007704,2,-0.892469
97,0.360785,0.007481,2,-0.899252
98,0.368093,0.007308,0,-0.931139
99,0.373276,0.005184,0,-0.959934
100,0.376370,0.003094,0,-0.986894
101,0.377396,0.001025,0,-1.013248
102,0.376359,-0.001036,0,-1.040214
103,0.373254,-0.003105,0,-1.069023
104,0.368059,-0.005195,0,-1.100930
105,0.360740,-0.007320,0,-1.137234
106,0.351247,-0.009493,0,-1.179278
107,0.339518,-0.011729,0,-1.228450
108,0.325478,-0.014040,0,-1.286149
109,0.309038,-0.016440,0,-1.353739
110,0.290097,-0.018941,0,-1.432461
111,0.268545,-0.021552,0,-1.523291
112,0.244261,-0.024284,0,-1.626747
113,0.217119,-0.027142,0,-1.742612
114,0.186989,-0.030130,0,-1.869589
115,0.153742,-0.033247,0,-2.004876
116,0.117256,-0.036486,0,-2.143709
117,0.077424,-0.039833,0,-2.278930
118,0.034158,-0.043266,0,-2.400691
119,-0.012594,-0.046752,0,-2.496460
120,-0.062845,-0.050251,0,-2.551528
121,-0.116551,-0.053706,0,-2.550182
122,-0.173606,-0.057055,0,-2.477657
123,-0.233830,-0.060224,0,-2.322750
124,-0.296963,-0.063133,0,-2.080711
