gen,tieCount,popSize
0,0,480
1,468,480
2,457,480
3,460,480
4,456,480
5,442,480
6,431,480
7,430,480
8,429,480
9,440,480
10,436,480
11,423,480
12,433,480
13,438,480
14,439,480
15,434,480
16,437,480
17,430,480
18,440,480
19,439,480
20,447,480
21,438,480
22,434,480
23,441,480
24,437,480
25,430,480
26,431,480
27,430,480
28,426,480
29,427,480
30,425,480
31,427,480
32,425,480
33,404,480
34,410,480
35,420,480
36,410,480
37,407,480
38,424,480
39,421,480
40,410,480
41,401,480
42,417,480
43,411,480
44,420,480
45,425,480
46,415,480
47,411,480
48,419,480
49,420,480
50,417,480
51,406,480
52,415,480
53,411,480
54,415,480
55,408,480
56,419,480
57,409,480
58,417,480
59,418,480
60,404,480
61,416,480
62,399,480
63,418,480
64,419,480
65,413,480
66,403,480
67,422,480
68,405,480
69,399,480
70,407,480
71,407,480
72,413,480
73,407,480
74,401,480
75,412,480
76,412,480
77,415,480
78,417,480
79,406,480
80,406,480
81,418,480
82,416,480
83,403,480
84,413,480
85,416,480
86,405,480
87,407,480
88,406,480
89,400,480
90,413,480
91,410,480
92,416,480
93,423,480
94,423,480
95,415,480
96,420,480
97,410,480
98,413,480
99,413,480
100,417,480
101,409,480
102,413,480
103,418,480
104,419,480
105,413,480
106,411,480
107,408,480
108,421,480
109,418,480
110,416,480
111,414,480
112,403,480
113,412,480
114,418,480
115,407,480
116,415,480
117,408,480
118,422,480
119,409,480
120,421,480
121,409,480
122,413,480
123,417,480
124,410,480
125,419,480
126,418,480
127,415,480
128,414,480
129,420,480
130,414,480
131,413,480
132,425,480
133,422,480
134,421,480
135,407,480
136,415,480
137,413,480
138,409,480
139,415,480
140,408,480
141,424,480
142,424,480
143,416,480
144,420,480
145,421,480
146,422,480
147,415,480
148,427,480
149,422,480
150,415,480
151,415,480
152,411,480
153,421,480
154,416,480
155,418,480
156,421,480
157,409,480
158,412,480
159,418,480
160,420,480
161,417,480
162,417,480
163,413,480
164,412,480
165,423,480
166,408,480
167,404,480
168,405,480
169,416,480
170,419,480
171,420,480
172,411,480
173,419,480
174,411,480
175,425,480
176,423,480
177,425,480
178,408,480
179,413,480
180,406,480
181,416,480
182,412,480
183,407,480
184,416,480
185,412,480
186,415,480
187,430,480
188,407,480
189,425,480
190,409,480
191,418,480
192,408,480
193,419,480
194,408,480
195,410,480
196,412,480
197,421,480
198,409,480
199,424,480
200,413,480
201,417,480
202,422,480
203,420,480
204,413,480
205,418,480
206,410,480
207,420,480
208,423,480
209,417,480
210,428,480
211,417,480
212,425,480
213,418,480
214,418,480
215,428,480
216,418,480
217,411,480
218,416,480
219,425,480
220,416,480
221,411,480
222,418,480
223,404,480
224,412,480
225,419,480
226,409,480
227,410,480
228,421,480
229,414,480
230,417,480
231,426,480
232,419,480
233,420,480
234,422,480
235,415,480
236,424,480
237,414,480
238,420,480
239,414,480
240,415,480
241,427,480
242,424,480
243,417,480
244,418,480
245,411,480
246,422,480
247,413,480
248,421,480
249,420,480
250,412,480
251,419,480
252,417,480
253,419,480
254,429,480
255,415,480
256,412,480
257,409,480
258,413,480
259,418,480
260,418,480
261,410,480
262,415,480
263,417,480
264,416,480
265,415,480
266,414,480
267,411,480
268,419,480
269,408,480
270,414,480
271,424,480
272,413,480
273,411,480
274,410,480
275,416,480
276,420,480
277,408,480
278,415,480
279,412,480
280,425,480
281,414,480
282,414,480
283,406,480
284,420,480
285,419,480
286,414,480
287,426,480
288,422,480
289,411,480
290,414,480
291,418,480
292,422,480
293,411,480
294,419,480
295,419,480
296,411,480
297,418,480
298,432,480
299,419,480
300,409,480
301,425,480
302,410,480
303,424,480
304,428,480
305,420,480
306,420,480
307,420,480
308,426,480
309,411,480
310,415,480
311,428,480
312,419,480
313,420,480
314,409,480
315,423,480
316,416,480
317,422,480
318,412,480
319,419,480
320,415,480
321,420,480
322,430,480
323,417,480
324,410,480
325,428,480
326,416,480
327,414,480
328,419,480
329,413,480
330,421,480
331,418,480
332,416,480
333,425,480
334,421,480
335,426,480
336,408,480
337,423,480
338,417,480
339,422,480
340,417,480
341,424,480
342,421,480
343,420,480
344,428,480
345,424,480
346,418,480
347,424,480
348,425,480
349,405,480
350,414,480
351,423,480
352,420,480
353,413,480
354,422,480
355,421,480
356,415,480
357,428,480
358,415,480
359,421,480
360,417,480
361,422,480
362,416,480
363,415,480
364,426,480
365,409,480
366,424,480
367,420,480
368,416,480
369,421,480
370,413,480
371,421,480
372,417,480
373,429,480
374,423,480
375,412,480
376,411,480
377,409,480
378,420,480
379,410,480
380,417,480
381,418,480
382,420,480
383,405,480
384,417,480
385,412,480
386,421,480
387,424,480
388,413,480
389,422,480
390,416,480
391,418,480
392,417,480
393,418,480
394,413,480
395,418,480
396,417,480
397,423,480
398,411,480
399,411,480
400,429,480
401,416,480
402,414,480
403,415,480
404,418,480
405,406,480
406,418,480
407,416,480
408,431,480
409,416,480
410,422,480
411,421,480
412,416,480
413,416,480
414,416,480
415,413,480
416,427,480
417,420,480
418,418,480
419,418,480
420,418,480
421,428,480
422,425,480
423,416,480
424,424,480
425,427,480
426,408,480
427,415,480
428,419,480
429,425,480
430,420,480
431,422,480
432,417,480
433,409,480
434,426,480
435,418,480
436,413,480
437,417,480
438,417,480
439,422,480
440,420,480
441,419,480
442,420,480
443,424,480
444,416,480
445,416,480
446,417,480
447,423,480
448,420,480
449,409,480
450,415,480
451,423,480
452,423,480
453,418,480
454,421,480
455,424,480
456,420,480
457,420,480
458,420,480
459,422,480
460,422,480
461,413,480
462,421,480
463,425,480
464,415,480
465,427,480
466,421,480
467,414,480
468,421,480
469,419,480
470,419,480
471,424,480
472,410,480
473,415,480
474,415,480
475,426,480
476,415,480
477,418,480
478,417,480
479,423,480
480,412,480
481,415,480
482,426,480
483,421,480
484,425,480
485,431,480
486,421,480
487,413,480
488,417,480
489,421,480
490,420,480
491,428,480
492,411,480
493,417,480
494,415,480
495,417,480
496,425,480
