step,x,y,mu,vx,vy,omega,lidar_l,lidar_c,lidar_r,throttle,steering,reward
0,0.622406,-1.721510,-0.916045,0.000000,0.000000,0.000000,0.200000,0.240000,0.360000,0.100000,-0.700000,0.000000
1,0.622406,-1.721510,-0.916045,0.007000,0.000000,0.000000,0.200000,0.240000,0.360000,0.100000,-0.700000,0.007000
2,0.622449,-1.721566,-0.916045,0.014000,0.000000,0.000000,0.200000,0.240000,0.360000,0.100000,-0.700000,0.014000
3,0.622534,-1.721677,-0.916045,0.014817,-0.007341,-0.313982,0.200000,0.240000,0.360000,0.100000,-0.700000,0.014817
4,0.622566,-1.721839,-0.919185,0.024408,-0.009728,0.083227,0.200000,0.240000,0.340000,0.100000,-0.800000,0.024408
5,0.622637,-1.722092,-0.918353,0.024979,-0.008339,-0.555591,0.200000,0.240000,0.340000,0.100000,-0.800000,0.024979
6,0.622722,-1.722341,-0.923908,0.031464,-0.016039,-0.223899,0.200000,0.240000,0.340000,0.100000,-0.800000,0.031464
7,0.622784,-1.722689,-0.926147,0.034940,-0.013009,-0.684050,0.200000,0.240000,0.340000,0.100000,-0.800000,0.034940
8,0.622890,-1.723046,-0.932988,0.041025,-0.020150,-0.414075,0.200000,0.240000,0.340000,0.100000,-0.800000,0.041025
9,0.622972,-1.723496,-0.937129,0.045291,-0.018090,-0.756250,0.200000,0.240000,0.340000,0.100000,-0.800000,0.045291
10,0.623095,-1.723968,-0.944691,0.050766,-0.023847,-0.606920,0.200000,0.240000,0.340000,0.100000,-0.800000,0.050766
11,0.623199,-1.724519,-0.950760,0.055466,-0.023437,-0.828979,0.200000,0.240000,0.320000,0.100000,-0.800000,0.055466
12,0.623331,-1.725107,-0.959050,0.060675,-0.027242,-0.797746,0.200000,0.220000,0.320000,0.100000,-0.800000,0.060675
13,0.623456,-1.725760,-0.967028,0.065607,-0.028461,-0.917776,0.200000,0.220000,0.320000,0.100000,-0.800000,0.065607
14,0.623594,-1.726461,-0.976205,0.070690,-0.030921,-0.962107,0.200000,0.220000,0.320000,0.100000,-0.800000,0.070690
15,0.623734,-1.727220,-0.985826,0.075724,-0.032840,-1.036616,0.200000,0.220000,0.300000,0.100000,-0.800000,0.075724
16,0.623878,-1.728033,-0.996193,0.080783,-0.034887,-1.101288,0.200000,0.220000,0.300000,0.100000,-0.800000,0.080783
17,0.624025,-1.728900,-1.007205,0.085847,-0.036866,-1.167716,0.200000,0.220000,0.300000,0.100000,-0.800000,0.085847
18,0.624172,-1.729823,-1.018883,0.090918,-0.038818,-1.233389,0.180000,0.220000,0.300000,0.100000,-0.800000,0.090918
19,0.624318,-1.730801,-1.031217,0.095997,-0.040734,-1.298641,0.180000,0.220000,0.280000,0.100000,-0.900000,0.095997
20,0.624461,-1.731834,-1.044203,0.099039,-0.043801,-1.414203,0.180000,0.220000,0.280000,0.100000,-0.900000,0.099039
21,0.624581,-1.732910,-1.058345,0.102544,-0.046650,-1.505850,0.180000,0.200000,0.280000,0.100000,-0.900000,0.102544
22,0.624677,-1.734033,-1.073403,0.106370,-0.049191,-1.588261,0.180000,0.200000,0.280000,0.100000,-0.900000,0.106370
23,0.624752,-1.735202,-1.089286,0.110420,-0.051493,-1.664745,0.180000,0.200000,0.260000,0.100000,-0.900000,0.110420
24,0.624807,-1.736419,-1.105934,0.114626,-0.053611,-1.737005,0.180000,0.200000,0.260000,0.100000,-0.900000,0.114626
