trial,peak_fitness,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize,snn_window_ms,snn_tau_exc,snn_tau_inh,snn_ttfs_threshold
0,740.0,0.33664513410701363,0.37183521486758875,0.2609671816250754,0.04214151922549356,0.3541928796033428,0.22068028132693096,0.46255232675761554,0.4610382802815487,0.38728196617536026,7,74,9.000405732344165,18.769158588442238,0.1416146774959733
1,1100.0,0.17764080016825673,0.08920818486569332,0.057076439104114,0.12988713785011247,0.5668940505699103,0.27088272120728746,0.7871710053396586,0.4276970831180205,0.21151777678852618,13,55,9.924142897444998,7.727185472635206,0.1716632040814888
2,1280.0,0.3276711214784238,0.23659787299573565,0.14259446423661945,0.10336412177344674,0.3736901993299291,0.20332920454657727,0.2112738802618131,0.36234877894731576,0.26423350295284753,11,79,10.27274488854098,13.347205414918436,0.0010241553864188226
3,1060.0,0.38617166200459374,0.07710146223317144,0.28336835040598374,0.06892291365678782,0.22622953664430454,0.10487949067468713,0.38925701055451034,0.2709358775393441,0.2495688696462579,8,80,5.449012825423593,9.430795658465701,6.342108712196185e-05
4,1320.0,0.3713544507148846,0.16398122114290195,0.2132087704997072,0.013008935291317952,0.19538175018731185,0.10072403162080434,0.5937977536791641,0.189745862485501,0.11880382658801873,7,75,5.40788261459827,25.7865675949689,3.284720015523882e-05
5,1190.0,0.47896570995645804,0.26089304074146574,0.391866380866618,0.05328247620156891,0.543558147638981,0.08477806546496783,0.3696841775458458,0.1832707620367408,0.15364906913275073,3,61,8.046668114362054,5.667834905068394,0.013478056158132336
6,1350.0,0.3425649639599482,0.16942527092275045,0.2331368187133449,0.007220580502368712,0.4455678973337076,0.28416234825707193,0.3911413714707942,0.3802677367869254,0.09612925184153727,12,60,6.124152131899212,19.24933630506216,1.5259117801755906e-05
7,1350.0,0.4298712417235384,0.052112964286646184,0.28723578787868054,0.014378230835599129,0.541116413273557,0.29153023410630613,0.3492518861119749,0.3474166403904213,0.2572146759451437,10,58,12.526871775821315,15.625259844058311,0.06369870381174025
8,1120.0,0.3867867028256654,0.18384662788481015,0.334829236895867,0.023584211700483526,0.6286619182666969,0.20620512347043235,0.7290412171129117,0.38931137242799574,0.3038389979368742,9,79,9.957998457590584,15.020231262512672,0.005655299117808464
9,1310.0,0.16038749639734617,0.1857086675035472,0.2810607381224398,0.015552605567522436,0.4708092573993049,0.1720441890118516,0.2812844385334702,0.24738163734417107,0.24948771874544273,10,68,10.034630821211351,20.95468502004391,0.0009677632293711445
10,1360.0,0.30079928592755856,0.11764737782704376,0.24976994323614268,0.023139574804455446,0.5168535625544959,0.29274310736377374,0.46004517666327105,0.36871298251652557,0.151561185624263,11,61,6.102441978776095,16.755391317222298,4.418866921635431e-05
11,1320.0,0.2833068114644212,0.10540914364896546,0.19947231508567637,0.01864499090076884,0.4781145835867275,0.2356457388166149,0.5033000350481249,0.34213690188899254,0.19776502705274443,10,57,5.28940486819825,10.956717578717258,0.0001431035132001795
12,578.0,0.4202571760472466,0.08693100653461787,0.3333856530295766,0.017941790675450427,0.523261658439394,0.28916105502504286,0.2945438785758368,0.42826217911818365,0.07684800195968226,12,57,7.1375730016940375,23.475070320978894,6.678394970341381e-05
13,927.0,0.2891745217523978,0.2726129597788826,0.33146042233355527,0.01503459302984639,0.41215918184953815,0.29264567653627166,0.5356924865712978,0.2630267970313801,0.06652766046835581,12,79,4.970887623925056,15.221151903577763,7.003009506343059e-05
14,1320.0,0.37541995153810714,0.15427208688565397,0.25339197749407555,0.03287725280761937,0.47002073112554255,0.2849748010558588,0.47766624775194133,0.1425466708547765,0.08897245482438053,14,58,6.800651978414676,18.64304598103404,4.195499830490233e-05
15,1350.0,0.33619535581129834,0.17619362675585296,0.14512499179889582,0.018811885838963427,0.6386884171947304,0.2052248106254809,0.42230735947122033,0.36623668727369796,0.07972012333365569,16,62,7.7263711983781915,27.66364829145691,0.0004126182392323235
16,1280.0,0.3931423026219517,0.11994641183278887,0.2723502278452152,0.006666681036116863,0.2671580372300991,0.2943119234790658,0.35072229851819836,0.31715784547737674,0.09628693676908372,8,68,6.673040100045927,20.84270602233786,0.00011465769544421343
17,1310.0,0.2343007575948846,0.08719534220549226,0.31463021741222863,0.009690515036086214,0.32075463794382864,0.26010551777032365,0.34765421808119557,0.4774287987647263,0.22703084351249864,15,62,5.791250915698544,16.65627107510338,4.782095895078206e-05
18,1370.0,0.17013028938894248,0.13944094317826944,0.3011766215422779,0.041028641900066914,0.35434469757402415,0.2466595125973718,0.3413491160247278,0.4331913246195807,0.0797480858583166,7,55,5.053030450521032,19.944593678006346,0.00015308205743852068
19,1330.0,0.23930603968561381,0.07727212098645461,0.3957881392568957,0.04132432458611808,0.37462977849411616,0.28601651998136923,0.3342028881969672,0.4762890497932063,0.11616658955078543,4,59,7.764043205942024,20.46346151765488,3.5615746742638364e-05
20,1370.0,0.24938291969101253,0.29700587877687196,0.13304829880258898,0.06321843436106112,0.496696004824719,0.2409283498407479,0.25126692175678167,0.34911772406775987,0.08920633685099419,4,57,5.270027605920598,15.585316874192625,7.593362409686424e-05
21,1330.0,0.24566068551337641,0.29784881533353064,0.0859716322127716,0.11170156070113263,0.6002720450335877,0.2513359048112105,0.21784283583125913,0.29512062160316765,0.1340268597663503,5,56,7.85013571319568,18.702963536770564,2.677416685508143e-05
22,1080.0,0.157820293573882,0.20292977932470227,0.16660644493735557,0.03979816486290584,0.26861690186972287,0.22989351498570432,0.4082003693471343,0.4417950773207244,0.18617097441745095,5,57,4.605153344494522,25.922789296767213,9.651918245416669e-05
23,1080.0,0.2977990591403232,0.22261194800265088,0.21165244587041224,0.06150747641118034,0.3723949425404621,0.25325810950245575,0.2851580878613412,0.4296825876096736,0.06848004373555336,6,59,4.947772562033246,8.287398246684822,0.00017135789339175534
24,1100.0,0.1827784788816343,0.17117962807859766,0.2611491109032008,0.014689430766910849,0.43871097912762724,0.23283279351396602,0.25896419493506617,0.4124385715375794,0.08808956974809846,8,52,4.98010143316799,24.754154066718808,0.0020072656754377017
25,1350.0,0.3444914664485224,0.28391149085138284,0.1275202552863257,0.023171883232346792,0.6260187663710169,0.17246638456064808,0.34547699528462816,0.43271043270661413,0.17837532962854474,4,55,5.637887711421388,12.384551938629876,0.000254011638254988
26,1310.0,0.2295327757541069,0.22171206015259193,0.12016739440027785,0.08381778797338486,0.4011072001932714,0.13181022671172082,0.30988613725840825,0.26020861143118584,0.05825716374079399,4,56,7.295486325579196,8.557056925847558,0.0015210335539490088
27,1330.0,0.1757315313257032,0.2310597671215295,0.3963993716435613,0.04667576656951136,0.3238393860350667,0.1898190533869391,0.4293094584645164,0.4376310223291303,0.14464271343948915,9,52,5.686947355939685,22.947165024604566,8.096702807279168e-05
28,730.0,0.32234451440257317,0.060727374145110674,0.28336281644160966,0.03496734419498284,0.5047196160808266,0.2807976636285193,0.42010977473741884,0.3716502624530231,0.18736414180194647,9,72,6.825918328778598,19.07373631797107,2.8101947069311183e-05
29,958.0,0.33299847646338293,0.3456392768020557,0.1706643760048173,0.049636096626033514,0.4832558818731013,0.24066347154175832,0.24781544532983243,0.23405811161215057,0.11488853222503054,2,54,5.478788765185668,7.571979363320246,3.602254810069437e-05
30,920.0,0.1911295941354888,0.09161067568523404,0.24725194692597707,0.12720325864378268,0.4973196086347654,0.25873923926837666,0.6245741719581691,0.4035729117152773,0.1449121328263593,11,56,7.556384473064043,20.33883342914453,1.5676148847011458e-05
31,1360.0,0.3845572722273493,0.17555422717085153,0.27564211250212467,0.005428362292914089,0.3512230094008185,0.2299149710633178,0.5488112333695634,0.3300891620139091,0.13494432806873022,11,54,6.590600251321244,23.390958962227344,3.179928880899567e-05
32,1320.0,0.37140382062285515,0.20391047387615208,0.19660427677752898,0.08190618262958888,0.6097261824575666,0.29562926056702493,0.46242920694115675,0.4093911999631436,0.07442986306566154,9,64,6.018988882406184,14.717958023336585,7.166482394907226e-05
33,1160.0,0.38999797654728674,0.2677490308841376,0.38010612095854607,0.00834953018694777,0.33494220976485717,0.21267251356568595,0.6258676759824355,0.27208360183901736,0.16332135526449412,14,65,6.88307721803338,20.555361339138386,0.0005464817828495717
34,1400.0,0.34129217094417014,0.2028194356519075,0.2847055618423067,0.013053567488290738,0.25862376989916047,0.2233126822558999,0.7091836965846362,0.3509329570003148,0.10657071915514635,13,52,7.907365803133234,28.77831224293322,2.2446905353306902e-05
