round,trial,peak_fitness,elapsed_s,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,7,-34.4,34.5,0.6457346574652216,0.3396658436742253,0.13500925522875967,0.019494612492498946,0.6833570893071585,0.11817126415941084,0.6579723704979067,0.3721747484695002,0.20679235201971857,14
0,15,-39.5,36.0,0.4181327493696823,0.29950192295142747,0.20837073621442948,0.009818682544665794,0.5838196207384545,0.22008161621473968,0.22337951888402804,0.36672501052818185,0.37145808116607165,8
0,4,-34.0,40.5,0.6470325989566466,0.09766933251365231,0.12321297421845073,0.11559401455681756,0.3895192994451099,0.09499863633632026,0.2682901528920058,0.49554668457331286,0.2882409386101271,9
0,3,-34.0,46.6,0.5375536290593133,0.17422230577834316,0.33602903147277025,0.006015277191465054,0.4860911068804543,0.1639093490317784,0.4951090712790832,0.24176245610182912,0.15298029459636597,12
0,14,-33.4,46.6,0.5091440624770265,0.20002150864834517,0.30750453241084813,0.16716555438269387,0.15283477857920352,0.11982059164785419,0.49846227906522117,0.46109938150686447,0.0741403067672795,14
0,19,-33.8,48.1,0.39051384850713877,0.3884455990233294,0.08329764533153497,0.19280381058442855,0.2834576494943808,0.23929681471299594,0.21970474609870236,0.393515631282285,0.10191940855926288,4
0,6,-32.0,52.6,0.5717055969963225,0.09256617775703123,0.2953641819685854,0.16579088892303936,0.3573862223797144,0.29749159877819775,0.41531734838773643,0.35066207430109836,0.08872965093577168,12
0,9,-32.3,57.1,0.3429262768398275,0.4110946478823678,0.24332806237276228,0.19693476736572685,0.6389531493952935,0.05845806291008271,0.7144388076560015,0.38577554929007063,0.23707773139603222,11
0,10,-33.0,57.1,0.20731554689642784,0.160694513998911,0.07375717048279537,0.022808147082801083,0.1603089946487192,0.1489701505234852,0.5304983895575979,0.24580918135389196,0.10639212648983264,7
0,18,-33.0,57.1,0.5930100274761715,0.43543681417244307,0.2648953793091999,0.0055379770770365945,0.6960320357194125,0.029639392606902962,0.736355210996154,0.23804859288941455,0.14239400783678574,3
0,2,-30.7,75.1,0.23906235364620043,0.43786269281458895,0.23470029886131877,0.05535698835359053,0.10072330128146419,0.21191719605823772,0.758106940312574,0.4899098388994774,0.3552846862546245,11
