round,trial,peak_fitness,elapsed_s,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize
0,0,-155.0,27.0,0.5447039559410278,0.21049614887674784,0.10798975268004266,0.05149286829169757,0.43858230493112715,0.2445569109502722,0.7022259299545257,0.13397774010707497,0.17068244020342396,10
0,7,-175.0,27.0,0.20073483462223923,0.1331568219114332,0.06487592717083183,0.051864114085018106,0.5904498432628615,0.18387962848773898,0.311781232117711,0.3320246411613526,0.37731223215136345,8
0,2,-196.0,28.6,0.5292831268141721,0.47211866179068884,0.06017954281886625,0.005908329019855174,0.1535685267217483,0.2642313992165959,0.5332564420578165,0.4216963088971848,0.21395632536287706,9
0,5,-176.0,30.0,0.4629031727492562,0.17957806628954137,0.14467302639764595,0.019070395806919802,0.5358560788620713,0.14975071107615054,0.6237589147808613,0.2928573452621185,0.32285776928914317,9
0,4,-248.0,36.1,0.27413023538440334,0.247651233598931,0.20893293538973623,0.11560498076860395,0.6551829974127,0.10925024116680263,0.36317045403529974,0.22594807770840797,0.2859086788932623,13
0,6,-178.0,37.5,0.3257750203235586,0.17530025469791022,0.38425396565421177,0.05113292459451341,0.34569694787863037,0.0327277277167771,0.780505191550904,0.48083447491015513,0.24933481590629053,5
0,3,-242.0,37.6,0.5424132463421844,0.0991148005567479,0.19991949128174674,0.009648809548738724,0.237971210556285,0.1659993289588969,0.390026091226822,0.4803526196869952,0.2944591887920404,6
0,1,-252.0,39.0,0.21622848571101905,0.07741307513239704,0.214334814265621,0.06586570427750385,0.40316817026948626,0.08662794319226366,0.3316563733301886,0.2887764806086085,0.3791340426535964,7
0,14,-156.0,30.1,0.05270799879806731,0.36535073492617737,0.33785077060882507,0.0247874753536803,0.4682898600891236,0.29480259770434025,0.2181756048494038,0.05092809755858875,0.12459787643610332,16
1,2,-262.0,25.6,0.6519744895958366,0.21602108030533684,0.07821537361077478,0.00571770317871258,0.339120053689744,0.16352751347138378,0.38547410036775753,0.0734742729336545,0.1008636320875145,16
1,7,-223.0,25.6,0.5810480776103433,0.4508494023049868,0.25978194669281596,0.022668639740313606,0.3365533794119424,0.03611794816845838,0.40297897211438827,0.07693852308978721,0.3320697908854821,9
1,6,-171.0,27.0,0.6231244285611198,0.06643910290046494,0.3334308210122063,0.05461304467421722,0.49458440364342093,0.23435845306858955,0.5088855781840669,0.05351428973731758,0.16747518016405394,5
1,5,-230.0,28.6,0.601557825889894,0.09358376888914455,0.3477260450502391,0.1181716474294896,0.35285251489983993,0.17519322956842595,0.7218971838416446,0.3989076247524005,0.3726056670322424,16
1,0,-211.0,33.0,0.20858711117346534,0.2677885799935004,0.32093568667028644,0.073869200308579,0.2666282346240116,0.29190457820768717,0.4033990820698423,0.19629584440107967,0.3580632950222372,13
1,4,-228.0,33.0,0.2853355215795799,0.2929508992698066,0.34479106576916646,0.052744626524701556,0.6066930534029569,0.20810606898059938,0.3408599857624919,0.0823061241421795,0.31911145797635837,4
1,3,-84.0,33.1,0.21929202045141616,0.47038658888797863,0.22255248436533026,0.03871116528234322,0.6683719308972298,0.26194223700721564,0.6189885328740394,0.15199589229748345,0.0845775653202688,10
1,1,-217.0,39.0,0.15671446058685232,0.4799224895844176,0.24296129833987062,0.01435538293238166,0.3387929618010961,0.14028470267760332,0.21597921583910756,0.2918130861537778,0.21452563113855871,7
1,11,-211.0,31.5,0.2262259425833571,0.4440543530522797,0.16788885041936263,0.03223497123858369,0.24540842760073284,0.10941394127929875,0.661820993839269,0.3576617694160163,0.13759029893410704,10
1,9,-109.0,34.6,0.46739818170400155,0.13056505974992563,0.389073455567632,0.03608796261147698,0.22570849467829,0.25102528111395467,0.6360359288671991,0.43515834207416504,0.10894142130204593,16
1,8,-115.0,34.6,0.41912787297202503,0.16840603237739993,0.36623800803429896,0.05026499147193407,0.5254345659642057,0.15312495793041278,0.3001995039985539,0.30746401544246715,0.14482946876568387,4
1,15,-200.0,33.0,0.3466912644789683,0.39759663405465184,0.18105530925640484,0.017428675330462103,0.43634762300824526,0.08806035548838895,0.7950435587720918,0.15745590112263474,0.05957003214320608,12
1,18,-235.0,39.0,0.14837979619854758,0.06068072145327505,0.2848695174106617,0.08378651628776283,0.48190650507124067,0.24535408695880437,0.5085438541218692,0.12094970377074951,0.1743979208249441,6
1,27,-226.0,31.5,0.5263805467741905,0.13016507396895596,0.20343289520662133,0.02518089542777614,0.26744408891662547,0.18426130674978666,0.7374675620745035,0.330329417235667,0.1248872938696477,14
1,25,-236.0,34.5,0.477553600481926,0.18218333394192526,0.39969237954056996,0.03975101940519244,0.13045131009780814,0.2589530827884885,0.6423028281775724,0.4650540399483474,0.09435710462519367,14
1,26,-226.0,34.5,0.4129334115203824,0.09791558563706618,0.263975875708489,0.013791299227816608,0.17791299775425096,0.29945167053867994,0.6960154499888652,0.4357434676790033,0.08252334455213908,15
1,28,-238.0,34.5,0.42998107062103197,0.171768890225572,0.3751541761884829,0.03661312819734052,0.20631592400296234,0.08668683332146564,0.2139646857691196,0.3168131583720179,0.1423357182114935,3
2,1,-159.0,25.5,0.621611526450579,0.39606867955946307,0.10929111222320748,0.03535640650210478,0.14934619881452804,0.20561928958838524,0.46934252527770304,0.4422916621379911,0.390539119084618,15
2,0,-153.0,27.0,0.39683623225917625,0.48878880670123076,0.1011060509035394,0.21262487997566618,0.692223650982575,0.20862232191209854,0.6907316522150649,0.47605079239755743,0.3475742928598566,16
2,3,-160.0,27.0,0.3953482921669573,0.16740934839586646,0.2948188818802642,0.032936571719731626,0.553553144199484,0.1549770830032593,0.7187963928681724,0.05466096331516379,0.2363094480534268,4
2,2,-174.0,28.5,0.6480766515450966,0.40038294490357446,0.3943324503001034,0.017383041190323027,0.5089854084276855,0.03427775273800593,0.4437659835848713,0.17821002321843316,0.3770185532918821,4
